# TimeStamp(s) Sum Stdev
0 1.43064e+09 7.01078e+07
10 1.30847e+09 4.79758e+07
20 1.27123e+09 6.45949e+07
30 1.41842e+09 3.38174e+07
40 1.43339e+09 6.27278e+07
50 1.56689e+09 4.982e+07
60 1.26964e+09 3.07918e+07
70 1.33268e+09 3.5845e+07
80 1.44006e+09 1.14695e+07
90 1.41997e+09 4.34218e+07
100 1.43654e+09 6.9762e+07
110 1.44061e+09 7.35416e+07
120 1.32632e+09 5.24725e+07
130 1.35551e+09 3.06412e+07
140 1.37683e+09 5.84257e+07
150 1.45928e+09 2.28797e+07
160 1.45811e+09 7.82915e+07
170 1.26073e+09 5.92762e+07
180 1.26741e+09 6.35913e+07
190 1.32737e+09 6.89894e+07
200 1.27091e+09 5.10714e+07
210 1.25825e+09 5.00014e+07
220 1.36332e+09 5.86717e+07
230 1.45258e+09 3.61229e+07
240 1.47765e+09 4.04171e+07
250 1.26032e+09 6.21859e+07
260 1.29945e+09 5.50612e+07
270 1.31129e+09 6.55157e+07
280 1.28788e+09 5.14843e+07
289 1.36274e+09 4.65989e+07
