Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

11:27:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:19 PM  all    2.94    0.00   27.57    0.00    0.00    4.67    0.00   43.08    0.00   21.74
11:27:19 PM    0    3.18    0.00   27.08    0.00    0.00    5.03    0.00   42.67    0.00   22.05
11:27:19 PM    1    2.36    0.00   26.95    0.00    0.00    3.69    0.00   49.90    0.00   17.11
11:27:19 PM    2    2.44    0.00   23.70    0.00    0.00    3.05    0.00   54.73    0.00   16.07
11:27:19 PM    3    4.06    0.00   32.88    0.00    0.00    6.04    0.00   29.55    0.00   27.47
11:27:19 PM    4    2.27    0.00   26.70    0.00    0.00    5.05    0.00   44.33    0.00   21.65
11:27:19 PM    5    2.98    0.00   26.82    0.00    0.00    4.62    0.00   44.30    0.00   21.27
11:27:19 PM    6    2.65    0.00   20.39    0.00    0.00    2.85    0.00   58.31    0.00   15.80
11:27:19 PM    7    3.66    0.00   36.26    0.00    0.00    7.00    0.00   20.06    0.00   33.02

11:27:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:29 PM  all    2.82    0.00   27.27    0.05    0.00    4.69    0.00   44.22    0.00   20.95
11:27:29 PM    0    3.15    0.00   25.43    0.00    0.00    3.46    0.00   56.26    0.00   11.70
11:27:29 PM    1    4.03    0.00   33.30    0.10    0.00    6.10    0.00   23.78    0.00   32.68
11:27:29 PM    2    3.43    0.00   33.78    0.10    0.00    6.86    0.00   25.78    0.00   30.04
11:27:29 PM    3    2.34    0.00   26.78    0.00    0.00    2.65    0.00   53.05    0.00   15.17
11:27:29 PM    4    0.91    0.00   11.21    0.00    0.00    1.92    0.00   78.89    0.00    7.07
11:27:29 PM    5    3.53    0.00   35.34    0.00    0.00    7.59    0.00   22.25    0.00   31.29
11:27:29 PM    6    2.81    0.00   32.40    0.10    0.00    7.08    0.00   30.31    0.00   27.29
11:27:29 PM    7    2.44    0.00   20.67    0.00    0.00    2.14    0.00   61.61    0.00   13.14

11:27:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:39 PM  all    2.91    0.00   27.54    0.01    0.00    5.05    0.00   43.96    0.00   20.52
11:27:39 PM    0    2.98    0.00   26.85    0.00    0.00    4.73    0.00   43.62    0.00   21.81
11:27:39 PM    1    2.33    0.00   22.11    0.00    0.00    3.14    0.00   56.09    0.00   16.33
11:27:39 PM    2    3.62    0.00   29.81    0.00    0.00    6.00    0.00   32.09    0.00   28.47
11:27:39 PM    3    2.65    0.00   27.19    0.10    0.00    2.44    0.00   50.51    0.00   17.11
11:27:39 PM    4    3.08    0.00   32.34    0.00    0.00    6.57    0.00   35.32    0.00   22.69
11:27:39 PM    5    2.98    0.00   28.03    0.00    0.00    4.41    0.00   45.89    0.00   18.69
11:27:39 PM    6    3.65    0.00   35.87    0.00    0.00   10.43    0.00   22.84    0.00   27.22
11:27:39 PM    7    1.83    0.00   18.29    0.00    0.00    2.85    0.00   64.63    0.00   12.40

11:27:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:49 PM  all    2.92    0.00   27.39    0.00    0.00    4.77    0.00   43.15    0.00   21.76
11:27:49 PM    0    2.47    0.00   24.95    0.00    0.00    5.57    0.00   47.63    0.00   19.38
11:27:49 PM    1    3.60    0.00   30.32    0.00    0.00    4.21    0.00   36.28    0.00   25.59
11:27:49 PM    2    2.26    0.00   23.90    0.00    0.00    4.62    0.00   52.00    0.00   17.23
11:27:49 PM    3    2.86    0.00   24.44    0.00    0.00    3.48    0.00   49.90    0.00   19.33
11:27:49 PM    4    2.45    0.00   24.54    0.00    0.00    5.52    0.00   46.93    0.00   20.55
11:27:49 PM    5    2.47    0.00   26.78    0.00    0.00    5.66    0.00   44.90    0.00   20.19
11:27:49 PM    6    3.52    0.00   30.57    0.00    0.00    4.56    0.00   35.44    0.00   25.91
11:27:49 PM    7    3.83    0.00   33.82    0.00    0.00    4.55    0.00   31.95    0.00   25.85

11:27:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:59 PM  all    2.86    0.00   26.92    0.06    0.00    4.85    0.00   44.32    0.00   20.98
11:27:59 PM    0    3.64    0.00   31.22    0.21    0.00    7.80    0.00   22.37    0.00   34.76
11:27:59 PM    1    2.76    0.00   22.68    0.00    0.00    3.68    0.00   51.89    0.00   19.00
11:27:59 PM    2    2.34    0.00   19.49    0.10    0.00    2.03    0.00   64.37    0.00   11.68
11:27:59 PM    3    2.55    0.00   22.78    0.31    0.00    2.86    0.00   53.63    0.00   17.88
11:27:59 PM    4    3.67    0.00   38.61    0.00    0.00   11.12    0.00   12.17    0.00   34.42
11:27:59 PM    5    2.15    0.00   23.62    0.00    0.00    5.52    0.00   52.15    0.00   16.56
11:27:59 PM    6    1.82    0.00   22.14    0.00    0.00    1.52    0.00   64.51    0.00   10.01
11:27:59 PM    7    4.13    0.00   35.33    0.00    0.00    4.44    0.00   31.61    0.00   24.48

11:27:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:28:09 PM  all    2.89    0.00   27.42    0.00    0.00    5.07    0.00   44.48    0.00   20.15
11:28:09 PM    0    3.40    0.00   31.24    0.00    0.00    3.81    0.00   36.19    0.00   25.36
11:28:09 PM    1    2.25    0.00   23.42    0.00    0.00    5.62    0.00   48.57    0.00   20.14
11:28:09 PM    2    1.21    0.00   14.31    0.00    0.00    1.51    0.00   75.40    0.00    7.56
11:28:09 PM    3    3.83    0.00   32.85    0.00    0.00    6.84    0.00   29.84    0.00   26.63
11:28:09 PM    4    2.97    0.00   28.18    0.00    0.00    2.66    0.00   48.57    0.00   17.62
11:28:09 PM    5    2.49    0.00   28.81    0.00    0.00    8.60    0.00   35.44    0.00   24.66
11:28:09 PM    6    3.44    0.00   29.89    0.00    0.00    3.55    0.00   48.63    0.00   14.49
11:28:09 PM    7    3.42    0.00   30.88    0.00    0.00    8.39    0.00   32.12    0.00   25.18

11:28:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:28:19 PM  all    2.95    0.00   27.65    0.01    0.00    4.97    0.00   44.30    0.00   20.12
11:28:19 PM    0    3.47    0.00   26.10    0.00    0.00    4.18    0.00   48.32    0.00   17.94
11:28:19 PM    1    2.26    0.00   26.49    0.00    0.00    4.41    0.00   47.64    0.00   19.20
11:28:19 PM    2    2.93    0.00   29.18    0.10    0.00    7.11    0.00   34.10    0.00   26.57
11:28:19 PM    3    2.73    0.00   22.37    0.00    0.00    1.62    0.00   59.62    0.00   13.66
11:28:19 PM    4    2.96    0.00   27.58    0.00    0.00    6.64    0.00   44.13    0.00   18.69
11:28:19 PM    5    3.68    0.00   31.53    0.00    0.00    5.02    0.00   33.57    0.00   26.20
11:28:19 PM    6    3.11    0.00   37.27    0.00    0.00    8.90    0.00   21.53    0.00   29.19
11:28:19 PM    7    2.44    0.00   20.93    0.00    0.00    1.93    0.00   64.74    0.00    9.96

11:28:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:28:29 PM  all    2.91    0.00   27.61    0.03    0.00    4.82    0.00   43.15    0.00   21.49
11:28:29 PM    0    2.90    0.00   31.85    0.00    0.00    6.10    0.00   32.26    0.00   26.89
11:28:29 PM    1    2.78    0.00   26.91    0.00    0.00    4.85    0.00   43.61    0.00   21.86
11:28:29 PM    2    2.36    0.00   23.98    0.00    0.00    4.51    0.00   48.98    0.00   20.18
11:28:29 PM    3    2.55    0.00   21.41    0.00    0.00    2.14    0.00   59.12    0.00   14.78
11:28:29 PM    4    3.12    0.00   32.92    0.00    0.00    6.77    0.00   31.04    0.00   26.15
11:28:29 PM    5    3.00    0.00   28.65    0.00    0.00    5.79    0.00   40.85    0.00   21.72
11:28:29 PM    6    3.65    0.00   33.61    0.21    0.00    6.05    0.00   25.99    0.00   30.48
11:28:29 PM    7    3.15    0.00   22.03    0.00    0.00    2.13    0.00   62.44    0.00   10.25

11:28:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:28:39 PM  all    2.87    0.00   27.47    0.03    0.00    4.84    0.00   44.22    0.00   20.57
11:28:39 PM    0    2.13    0.00   18.29    0.00    0.00    2.95    0.00   63.21    0.00   13.41
11:28:39 PM    1    2.87    0.00   27.15    0.00    0.00    4.00    0.00   43.24    0.00   22.75
11:28:39 PM    2    3.85    0.00   31.81    0.00    0.00    7.59    0.00   27.55    0.00   29.21
11:28:39 PM    3    2.55    0.00   22.86    0.00    0.00    2.45    0.00   57.96    0.00   14.18
11:28:39 PM    4    2.24    0.00   22.30    0.00    0.00    4.58    0.00   58.76    0.00   12.12
11:28:39 PM    5    3.94    0.00   37.45    0.10    0.00    5.50    0.00   21.16    0.00   31.85
11:28:39 PM    6    3.01    0.00   34.61    0.10    0.00    9.53    0.00   26.94    0.00   25.80
11:28:39 PM    7    2.34    0.00   25.69    0.00    0.00    2.45    0.00   53.82    0.00   15.70

11:28:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:28:49 PM  all    2.93    0.00   27.66    0.00    0.00    4.82    0.00   44.39    0.00   20.20
11:28:49 PM    0    2.02    0.00   17.39    0.00    0.00    2.73    0.00   67.75    0.00   10.11
11:28:49 PM    1    3.19    0.00   31.28    0.00    0.00    6.38    0.00   35.70    0.00   23.46
11:28:49 PM    2    2.88    0.00   26.93    0.00    0.00    3.70    0.00   43.99    0.00   22.51
11:28:49 PM    3    2.56    0.00   24.00    0.00    0.00    4.51    0.00   47.18    0.00   21.74
11:28:49 PM    4    2.03    0.00   19.37    0.00    0.00    1.72    0.00   65.11    0.00   11.76
11:28:49 PM    5    4.21    0.00   37.47    0.00    0.00    7.80    0.00   25.87    0.00   24.64
11:28:49 PM    6    3.98    0.00   37.17    0.00    0.00    7.75    0.00   20.31    0.00   30.79
11:28:49 PM    7    2.56    0.00   28.02    0.00    0.00    4.19    0.00   48.16    0.00   17.08

11:28:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:28:59 PM  all    2.94    0.00   27.85    0.01    0.00    4.88    0.00   43.69    0.00   20.63
11:28:59 PM    0    2.03    0.00   22.46    0.00    0.00    5.08    0.00   56.10    0.00   14.33
11:28:59 PM    1    3.93    0.00   31.61    0.10    0.00    6.10    0.00   32.75    0.00   25.52
11:28:59 PM    2    2.54    0.00   23.40    0.00    0.00    2.64    0.00   56.05    0.00   15.36
11:28:59 PM    3    3.00    0.00   29.55    0.00    0.00    4.55    0.00   39.15    0.00   23.76
11:28:59 PM    4    2.24    0.00   24.49    0.00    0.00    5.10    0.00   50.82    0.00   17.35
11:28:59 PM    5    3.70    0.00   31.58    0.00    0.00    6.48    0.00   36.52    0.00   21.71
11:28:59 PM    6    2.47    0.00   23.64    0.00    0.00    4.42    0.00   50.67    0.00   18.81
11:28:59 PM    7    3.62    0.00   36.40    0.00    0.00    4.55    0.00   26.99    0.00   28.44

11:28:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:29:09 PM  all    2.84    0.00   27.10    0.00    0.00    4.65    0.00   42.98    0.00   22.43
11:29:09 PM    0    2.97    0.00   25.87    0.00    0.00    4.19    0.00   47.24    0.00   19.73
11:29:09 PM    1    2.27    0.00   23.38    0.00    0.00    3.71    0.00   47.89    0.00   22.76
11:29:09 PM    2    3.20    0.00   27.86    0.00    0.00    4.54    0.00   40.56    0.00   23.84
11:29:09 PM    3    2.66    0.00   26.31    0.00    0.00    4.40    0.00   49.03    0.00   17.60
11:29:09 PM    4    2.68    0.00   26.49    0.00    0.00    3.92    0.00   46.08    0.00   20.82
11:29:09 PM    5    3.95    0.00   30.80    0.00    0.00    4.37    0.00   35.38    0.00   25.49
11:29:09 PM    6    2.79    0.00   30.37    0.00    0.00    5.99    0.00   33.99    0.00   26.86
11:29:09 PM    7    2.15    0.00   25.74    0.00    0.00    6.05    0.00   43.59    0.00   22.46

11:29:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:29:19 PM  all    2.92    0.00   27.62    0.00    0.00    4.70    0.00   43.04    0.00   21.73
11:29:19 PM    0    2.36    0.00   22.92    0.00    0.00    3.80    0.00   51.18    0.00   19.73
