# TimeStamp(s) Sum Stdev
0 0.554088 0.0319401
10 0.548725 0.0351921
20 0.506775 0.0264399
30 0.5241 0.0298281
40 0.517613 0.0468125
50 0.5173 0.0359481
60 0.493125 0.0308105
70 0.508962 0.0279962
80 0.503425 0.0177393
90 0.5168 0.0311381
100 0.47665 0.0350309
110 0.487537 0.0196324
120 0.525787 0.0325756
130 0.491712 0.0394688
140 0.51155 0.0365324
150 0.4923 0.0317026
160 0.505513 0.045338
170 0.501788 0.0327205
180 0.507313 0.0486777
190 0.505125 0.034309
200 0.490187 0.051659
210 0.518875 0.0323855
220 0.510038 0.0256488
230 0.487 0.0363756
240 0.5219 0.03836
250 0.496675 0.0314616
260 0.501462 0.0168678
270 0.49945 0.0517617
280 0.499437 0.0407179
290 0.440975 0.0408204
