# TimeStamp(s) Sum Stdev
0 5.46102e+09 1.98615e+09
10 5.7516e+09 1.83617e+09
20 5.48271e+09 1.77725e+09
30 5.51818e+09 1.73961e+09
40 5.7116e+09 1.82737e+09
50 5.60899e+09 1.89777e+09
60 5.46543e+09 1.74972e+09
70 5.62125e+09 1.82426e+09
80 5.51835e+09 1.90969e+09
90 5.54731e+09 1.50506e+09
100 5.70863e+09 1.85955e+09
110 5.50064e+09 1.912e+09
120 5.52153e+09 2.04488e+09
130 5.45922e+09 1.89432e+09
140 5.76319e+09 1.90654e+09
150 5.64688e+09 1.67089e+09
160 5.67566e+09 1.85365e+09
170 5.65852e+09 1.77289e+09
180 5.57659e+09 1.32931e+09
190 5.55143e+09 1.84759e+09
200 5.64882e+09 1.95426e+09
210 5.60808e+09 1.99215e+09
220 5.68229e+09 1.78941e+09
230 5.56477e+09 1.83882e+09
240 5.52508e+09 1.94524e+09
250 5.52374e+09 1.99834e+09
260 5.73239e+09 1.78093e+09
270 5.5696e+09 1.93489e+09
280 5.64193e+09 1.97939e+09
289 5.59193e+09 1.82357e+09
