# TimeStamp(s) Sum Stdev
0 0.790825 0.0171473
10 0.797937 0.0233332
20 0.79395 0.0227062
30 0.797525 0.0167035
40 0.791438 0.0185747
50 0.79585 0.0272074
60 0.794188 0.0311963
70 0.793563 0.0167658
80 0.78995 0.0156399
90 0.791125 0.0292867
100 0.789663 0.0302792
110 0.798 0.0209373
120 0.792237 0.0284996
130 0.790037 0.0375387
140 0.794963 0.0256628
150 0.798088 0.0157213
160 0.787325 0.0122144
170 0.793662 0.0133051
180 0.78975 0.0381153
190 0.796687 0.0130498
200 0.795212 0.0152173
210 0.794862 0.00911014
220 0.796975 0.0260065
230 0.795725 0.0279423
240 0.796625 0.0288753
250 0.796513 0.0184638
260 0.789112 0.0110672
270 0.7953 0.0137177
280 0.795687 0.01018
290 0.728413 0.0139597
