# TimeStamp(s) Sum Stdev
0 0.830737 0.0113445
10 0.836625 0.00936684
20 0.826075 0.0109981
30 0.825912 0.0075801
40 0.836838 0.0122087
50 0.831512 0.0161485
60 0.825863 0.00946767
70 0.833512 0.0100513
80 0.832913 0.00757963
90 0.829688 0.0110202
100 0.830612 0.01605
110 0.83215 0.0250498
120 0.830162 0.0141227
130 0.830375 0.0116559
140 0.8406 0.0164185
150 0.835513 0.00985979
160 0.832913 0.00756353
170 0.834463 0.00998139
180 0.83245 0.00676265
190 0.829212 0.012795
200 0.8325 0.0100064
210 0.8364 0.0139836
220 0.833488 0.00658653
230 0.832313 0.0116504
240 0.830087 0.0136929
250 0.834025 0.0150068
260 0.832937 0.0129057
270 0.833713 0.0126167
280 0.833688 0.0131111
290 0.756038 0.014983
