# TimeStamp(s) Sum Stdev
0 3.75232e+08 3.8277e+07
10 3.48732e+08 1.69961e+07
20 3.05619e+08 1.72315e+07
30 2.52679e+08 512323
40 3.17611e+08 8.54736e+06
50 2.59267e+08 1.63624e+06
60 2.82096e+08 7.30422e+06
70 2.57039e+08 3.48938e+06
80 3.02742e+08 2.44966e+07
90 3.03455e+08 2.38787e+07
100 3.23185e+08 3.67515e+07
110 2.96453e+08 1.13669e+07
120 2.49523e+08 207423
130 2.87617e+08 1.72158e+07
140 2.9471e+08 1.37034e+07
150 2.49294e+08 255949
160 3.11002e+08 2.14961e+07
170 2.65411e+08 1.02641e+07
180 2.81605e+08 1.36414e+07
190 2.59994e+08 4.93752e+06
200 2.7486e+08 9.43833e+06
210 3.00391e+08 2.67248e+07
220 2.96719e+08 3.00083e+07
230 2.97215e+08 2.36671e+07
240 2.90365e+08 1.79021e+07
250 3.25921e+08 3.8216e+07
260 3.72723e+08 5.73541e+07
270 3.18345e+08 3.64424e+07
280 2.5555e+08 2.14292e+06
289 2.96937e+08 1.37319e+07
