# TimeStamp(s) Sum Stdev
0 0.800575 0.00997319
10 0.814837 0.0115509
20 0.798075 0.012518
30 0.809037 0.0135053
40 0.814788 0.0114199
50 0.7967 0.0124189
60 0.814462 0.0170597
70 0.8067 0.0188008
80 0.814887 0.0144512
90 0.809288 0.01188
100 0.8047 0.012141
110 0.802538 0.0164176
120 0.817625 0.012599
130 0.795312 0.0168317
140 0.8156 0.0163666
150 0.820762 0.0121009
160 0.824838 0.014577
170 0.821112 0.00661129
180 0.811787 0.0132538
190 0.828175 0.0128881
200 0.814937 0.0138203
210 0.803037 0.0123865
220 0.79625 0.0139222
230 0.804725 0.0190649
240 0.804775 0.0137083
250 0.80425 0.0116065
260 0.802975 0.0103843
270 0.80395 0.0129317
280 0.809462 0.0108011
290 0.742963 0.0167328
