Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:05:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:05:50 AM  all    1.44    0.00   33.37    0.04    0.00    5.29    0.00   34.74    0.00   25.12
12:05:50 AM    0    1.73    0.00   29.17    0.00    0.00    3.46    0.00   40.35    0.00   25.30
12:05:50 AM    1    1.83    0.00   30.86    0.00    0.00    3.65    0.00   34.31    0.00   29.34
12:05:50 AM    2    1.43    0.00   33.50    0.31    0.00    5.11    0.00   30.75    0.00   28.91
12:05:50 AM    3    1.43    0.00   33.03    0.00    0.00    7.54    0.00   29.26    0.00   28.75
12:05:50 AM    4    1.52    0.00   30.13    0.00    0.00    2.43    0.00   46.01    0.00   19.92
12:05:50 AM    5    1.63    0.00   35.82    0.00    0.00    4.59    0.00   37.24    0.00   20.71
12:05:50 AM    6    1.22    0.00   35.67    0.00    0.00    6.61    0.00   32.72    0.00   23.78
12:05:50 AM    7    1.02    0.00   38.78    0.00    0.00    8.93    0.00   27.01    0.00   24.26

12:05:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:06:00 AM  all    1.46    0.00   33.88    0.03    0.00    5.49    0.00   35.30    0.00   23.84
12:06:00 AM    0    1.33    0.00   34.29    0.20    0.00    6.45    0.00   31.12    0.00   26.61
12:06:00 AM    1    1.52    0.00   28.37    0.00    0.00    3.85    0.00   45.29    0.00   20.97
12:06:00 AM    2    1.32    0.00   30.82    0.00    0.00    4.88    0.00   37.13    0.00   25.84
12:06:00 AM    3    1.43    0.00   37.10    0.00    0.00    4.99    0.00   30.17    0.00   26.30
12:06:00 AM    4    1.02    0.00   34.08    0.10    0.00    7.32    0.00   35.71    0.00   21.77
12:06:00 AM    5    1.42    0.00   32.86    0.00    0.00    4.87    0.00   40.97    0.00   19.88
12:06:00 AM    6    2.02    0.00   33.70    0.00    0.00    5.26    0.00   37.96    0.00   21.05
12:06:00 AM    7    1.53    0.00   39.86    0.00    0.00    6.32    0.00   23.85    0.00   28.44

12:06:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:06:10 AM  all    1.37    0.00   34.59    0.05    0.00    5.59    0.00   35.46    0.00   22.94
12:06:10 AM    0    1.32    0.00   28.12    0.00    0.00    5.18    0.00   41.62    0.00   23.76
