# TimeStamp(s) Sum Stdev
0 3.71338e+09 3.59884e+08
10 3.41997e+09 5.57099e+08
20 3.61042e+09 5.63987e+08
30 3.52388e+09 4.88926e+08
40 3.56386e+09 4.9616e+08
50 3.54848e+09 6.72321e+08
60 3.56907e+09 3.87647e+08
70 3.6328e+09 4.21157e+08
80 3.50889e+09 5.34453e+08
90 3.53205e+09 5.83331e+08
100 3.63519e+09 6.43118e+08
110 3.57014e+09 4.8624e+08
120 3.54293e+09 4.96407e+08
130 3.35107e+09 4.90329e+08
140 3.36426e+09 3.66115e+08
150 3.37636e+09 4.2309e+08
160 3.40643e+09 5.4224e+08
170 3.52484e+09 3.60876e+08
180 3.44581e+09 4.58715e+08
190 3.51779e+09 7.39046e+08
200 3.65391e+09 4.61186e+08
210 3.55275e+09 5.47525e+08
220 3.33913e+09 4.0915e+08
230 3.4904e+09 2.54568e+08
240 3.45552e+09 4.76311e+08
250 3.51172e+09 3.00371e+08
260 3.51253e+09 4.34563e+08
270 3.5154e+09 4.53998e+08
280 3.61953e+09 5.73316e+08
289 3.51314e+09 4.58083e+08
