# TimeStamp(s) Sum Stdev
0 8.70886e+09 2.00572e+09
10 8.27064e+09 1.81184e+09
20 8.20443e+09 1.30589e+09
30 7.84627e+09 2.10215e+09
40 8.63397e+09 1.58455e+09
50 8.29591e+09 1.28151e+09
60 7.9882e+09 1.99312e+09
70 8.27048e+09 1.75425e+09
80 8.16935e+09 2.6036e+09
90 8.08337e+09 1.68084e+09
100 7.87166e+09 2.03792e+09
110 8.19318e+09 1.5537e+09
120 7.93297e+09 1.74704e+09
130 8.30889e+09 9.69804e+08
140 7.94824e+09 1.14191e+09
150 7.77927e+09 4.15403e+08
160 7.97772e+09 1.08082e+09
170 8.05491e+09 1.15301e+09
180 8.51738e+09 2.06864e+09
190 8.04257e+09 1.38079e+09
200 8.15521e+09 1.46944e+09
210 7.1822e+09 6.25505e+08
220 7.8331e+09 1.38453e+09
230 8.00705e+09 5.43054e+08
240 7.94802e+09 9.55648e+08
250 7.83377e+09 8.83251e+08
260 8.30032e+09 1.30965e+09
270 8.24233e+09 1.64483e+09
280 7.91628e+09 8.3817e+08
289 8.08271e+09 1.237e+09
