Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

11:49:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:20 PM  all    1.42    0.00   33.81    0.00    0.00    8.37    0.00   39.00    0.00   17.41
11:50:20 PM    0    1.23    0.00   31.60    0.00    0.00    9.41    0.00   36.40    0.00   21.37
11:50:20 PM    1    1.42    0.00   37.02    0.00    0.00    7.91    0.00   34.18    0.00   19.47
11:50:20 PM    2    0.82    0.00   30.13    0.00    0.00    7.97    0.00   43.62    0.00   17.47
11:50:20 PM    3    1.84    0.00   32.18    0.00    0.00    4.70    0.00   46.99    0.00   14.30
11:50:20 PM    4    1.63    0.00   35.96    0.00    0.00   11.54    0.00   30.95    0.00   19.92
11:50:20 PM    5    1.23    0.00   36.75    0.00    0.00    9.11    0.00   34.70    0.00   18.22
11:50:20 PM    6    2.03    0.00   32.08    0.00    0.00   10.05    0.00   42.34    0.00   13.50
11:50:20 PM    7    1.43    0.00   34.53    0.00    0.00    6.35    0.00   42.62    0.00   15.06

11:50:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:30 PM  all    1.33    0.00   34.31    0.05    0.00    8.65    0.00   39.03    0.00   16.63
11:50:30 PM    0    1.43    0.00   34.32    0.00    0.00    6.64    0.00   39.53    0.00   18.08
11:50:30 PM    1    1.42    0.00   28.79    0.00    0.00    7.43    0.00   46.90    0.00   15.46
11:50:30 PM    2    1.43    0.00   35.61    0.31    0.00    5.82    0.00   34.49    0.00   22.35
11:50:30 PM    3    1.33    0.00   31.35    0.00    0.00    9.73    0.00   39.24    0.00   18.34
11:50:30 PM    4    1.42    0.00   37.28    0.00    0.00    7.70    0.00   38.80    0.00   14.79
11:50:30 PM    5    1.33    0.00   34.01    0.20    0.00    8.89    0.00   39.73    0.00   15.83
11:50:30 PM    6    1.22    0.00   35.30    0.00    0.00    6.10    0.00   45.37    0.00   12.00
11:50:30 PM    7    0.92    0.00   37.79    0.00    0.00   16.85    0.00   28.09    0.00   16.34

11:50:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:40 PM  all    1.54    0.00   34.38    0.01    0.00    8.25    0.00   39.11    0.00   16.70
11:50:40 PM    0    1.42    0.00   30.86    0.00    0.00    5.18    0.00   46.80    0.00   15.74
11:50:40 PM    1    1.63    0.00   31.70    0.00    0.00    7.85    0.00   41.69    0.00   17.13
11:50:40 PM    2    1.13    0.00   34.91    0.00    0.00    7.29    0.00   37.27    0.00   19.40
11:50:40 PM    3    1.53    0.00   33.94    0.00    0.00    9.99    0.00   35.37    0.00   19.16
11:50:40 PM    4    1.83    0.00   36.19    0.00    0.00    5.91    0.00   42.41    0.00   13.66
11:50:40 PM    5    1.63    0.00   32.45    0.00    0.00    9.18    0.00   39.18    0.00   17.55
11:50:40 PM    6    1.32    0.00   34.49    0.00    0.00    6.71    0.00   44.15    0.00   13.33
11:50:40 PM    7    1.65    0.00   40.74    0.00    0.00   13.89    0.00   26.03    0.00   17.70

11:50:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:50 PM  all    1.41    0.00   33.96    0.00    0.00    8.46    0.00   39.15    0.00   17.03
11:50:50 PM    0    1.03    0.00   37.54    0.00    0.00   11.59    0.00   28.21    0.00   21.64
11:50:50 PM    1    1.95    0.00   35.79    0.00    0.00    4.51    0.00   37.54    0.00   20.21
11:50:50 PM    2    1.12    0.00   31.53    0.00    0.00    5.61    0.00   47.24    0.00   14.49
11:50:50 PM    3    1.33    0.00   28.57    0.00    0.00    7.24    0.00   45.82    0.00   17.04
11:50:50 PM    4    1.34    0.00   36.42    0.00    0.00   18.11    0.00   25.31    0.00   18.83
11:50:50 PM    5    2.05    0.00   40.78    0.00    0.00    5.23    0.00   33.61    0.00   18.34
11:50:50 PM    6    1.32    0.00   29.34    0.00    0.00    6.29    0.00   50.25    0.00   12.79
11:50:50 PM    7    1.32    0.00   31.71    0.00    0.00    9.15    0.00   44.92    0.00   12.91

