# TimeStamp(s) Sum Stdev
0 3.78849e+10 1.98954e+09
10 3.76878e+10 2.36964e+09
20 3.77254e+10 2.04259e+09
30 3.77873e+10 1.85864e+09
40 3.80566e+10 2.1117e+09
50 3.78147e+10 2.54233e+09
60 3.79339e+10 2.35063e+09
70 3.78744e+10 1.9315e+09
80 3.77811e+10 2.24553e+09
90 3.78604e+10 2.06896e+09
100 3.7754e+10 2.43903e+09
110 3.79303e+10 2.27677e+09
120 3.79106e+10 1.68402e+09
130 3.77778e+10 2.2505e+09
140 3.77581e+10 2.47939e+09
150 3.77013e+10 2.79045e+09
160 3.77264e+10 2.51673e+09
170 3.77205e+10 2.26576e+09
180 3.7621e+10 2.22704e+09
190 3.77327e+10 2.22568e+09
200 3.75818e+10 2.37305e+09
210 3.7661e+10 2.35234e+09
220 3.77402e+10 2.33163e+09
230 3.80135e+10 2.28253e+09
240 3.77888e+10 2.12341e+09
250 3.78704e+10 1.97974e+09
260 3.78838e+10 2.23614e+09
270 3.80034e+10 2.31052e+09
280 3.78685e+10 2.15063e+09
289.25 3.78027e+10 2.21872e+09
