# TimeStamp(s) Sum Stdev
0 8.69721e+08 3.06983e+08
10 8.56934e+08 3.06958e+08
20 8.49708e+08 3.07166e+08
30 8.55812e+08 3.10553e+08
40 8.43767e+08 3.05125e+08
50 8.76132e+08 2.39907e+08
60 8.6766e+08 2.0936e+08
70 8.62635e+08 3.06984e+08
80 8.58619e+08 3.03835e+08
90 8.77997e+08 2.53975e+08
100 8.62431e+08 1.61424e+08
110 8.43829e+08 2.25269e+08
120 8.58803e+08 3.12623e+08
130 8.52434e+08 2.49365e+08
140 7.71736e+08 3.18395e+08
150 8.41063e+08 1.20646e+08
160 8.75286e+08 2.98514e+08
170 8.17031e+08 1.98802e+08
180 7.91662e+08 3.26413e+08
190 7.81725e+08 2.85073e+08
200 7.94474e+08 3.24546e+08
210 7.91772e+08 3.1965e+08
220 8.36171e+08 1.58282e+08
230 7.9278e+08 2.98166e+08
240 8.7363e+08 2.64368e+08
250 7.70495e+08 3.27976e+08
260 8.24597e+08 3.13823e+08
270 8.47032e+08 3.08592e+08
280 8.46514e+08 1.51183e+08
289 8.36424e+08 1.27202e+08
