# BufferSize(B) Frac Stdev
32 0.364468 0.0705717
64 0.730395 0.0110443
128 0.78379 0.0134547
256 0.791706 0.0121294
512 0.881864 0.0171339
1024 0.838763 0.0132283
2048 0.829777 0.0140623
4096 0.806971 0.0145459
8192 0.809161 0.0124921
16384 0.754382 0.0140156
32768 0.755637 0.0134264
65536 0.6899 0.0113387
