# TimeStamp(s) Sum Stdev
0 2.6764e+10 6.12725e+09
10 2.71443e+10 7.15253e+09
20 2.73724e+10 6.31067e+09
30 2.70127e+10 5.6153e+09
40 2.6847e+10 4.70537e+09
50 2.72398e+10 6.18627e+09
60 2.684e+10 5.5142e+09
70 2.68602e+10 5.29847e+09
80 2.69e+10 6.82401e+09
90 2.6846e+10 6.22125e+09
100 2.6633e+10 6.79969e+09
110 2.73472e+10 7.11694e+09
120 2.69613e+10 6.58844e+09
130 2.62916e+10 6.12391e+09
140 2.69032e+10 5.72943e+09
150 2.67621e+10 6.542e+09
160 2.71825e+10 6.88145e+09
170 2.68369e+10 6.7316e+09
180 2.6986e+10 6.84173e+09
190 2.69388e+10 6.80547e+09
200 2.69794e+10 6.85346e+09
210 2.69087e+10 6.53801e+09
220 2.66396e+10 6.5009e+09
230 2.68465e+10 6.50358e+09
240 2.73283e+10 7.32557e+09
250 2.71069e+10 7.2652e+09
260 2.68168e+10 5.29356e+09
270 2.67626e+10 5.35857e+09
280 2.71177e+10 6.45963e+09
289 2.69243e+10 6.32275e+09
