# TimeStamp(s) Sum Stdev
0 0.3685 0.0337051
10 0.424275 0.0501749
20 0.409837 0.047653
30 0.401562 0.0496073
40 0.444862 0.0506844
50 0.427113 0.0666587
60 0.41385 0.0429122
70 0.50525 0.0376236
80 0.507513 0.0309271
90 0.394888 0.0235576
100 0.403738 0.033752
110 0.42275 0.0657529
120 0.406687 0.0274066
130 0.442625 0.0744918
140 0.4422 0.0373275
150 0.417113 0.0516285
160 0.417513 0.0405175
170 0.420175 0.0386043
180 0.416225 0.0479731
190 0.422613 0.040329
200 0.40615 0.0639527
210 0.416438 0.0566693
220 0.393762 0.0462778
230 0.398612 0.0437407
240 0.412138 0.042026
250 0.423675 0.0313457
260 0.399575 0.0571941
270 0.395975 0.0254231
280 0.409425 0.0506803
290 0.353787 0.0254757
