Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

10:48:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:48:47 PM  all    2.36    0.00   19.86    0.01    0.00    9.50    0.00   31.56    0.00   36.70
10:48:47 PM    0    2.21    0.00   18.51    0.00    0.00    8.95    0.00   35.01    0.00   35.31
10:48:47 PM    1    1.81    0.00   18.15    0.00    0.00    9.03    0.00   27.28    0.00   43.73
10:48:47 PM    2    1.91    0.00   17.77    0.00    0.00    8.84    0.00   32.83    0.00   38.65
10:48:47 PM    3    2.01    0.00   17.51    0.00    0.00    7.75    0.00   30.48    0.00   42.25
10:48:47 PM    4    3.22    0.00   23.12    0.00    0.00   11.46    0.00   32.06    0.00   30.15
10:48:47 PM    5    1.91    0.00   19.72    0.00    0.00   11.27    0.00   20.22    0.00   46.88
10:48:47 PM    6    1.92    0.00   19.70    0.00    0.00   13.33    0.00   23.33    0.00   41.72
10:48:47 PM    7    4.12    0.00   24.50    0.00    0.00    5.42    0.00   51.00    0.00   14.96

10:48:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:48:57 PM  all    2.26    0.00   19.62    0.01    0.00    8.95    0.00   31.07    0.00   38.09
10:48:57 PM    0    1.61    0.00   20.50    0.00    0.00   11.16    0.00   19.40    0.00   47.34
10:48:57 PM    1    2.00    0.00   18.64    0.00    0.00   10.92    0.00   27.76    0.00   40.68
10:48:57 PM    2    2.40    0.00   17.72    0.00    0.00    5.01    0.00   34.83    0.00   40.04
10:48:57 PM    3    2.41    0.00   19.70    0.00    0.00    9.35    0.00   26.93    0.00   41.61
10:48:57 PM    4    2.62    0.00   20.56    0.10    0.00    8.37    0.00   37.40    0.00   30.95
10:48:57 PM    5    1.80    0.00   20.04    0.00    0.00   12.83    0.00   34.97    0.00   30.36
10:48:57 PM    6    2.10    0.00   17.78    0.00    0.00    6.09    0.00   36.46    0.00   37.56
10:48:57 PM    7    3.13    0.00   22.10    0.00    0.00    7.97    0.00   30.58    0.00   36.23

10:48:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:07 PM  all    2.27    0.00   19.33    0.01    0.00    9.09    0.00   32.36    0.00   36.94
10:49:07 PM    0    1.91    0.00   19.16    0.00    0.00   10.03    0.00   20.36    0.00   48.55
10:49:07 PM    1    2.31    0.00   19.72    0.00    0.00   10.06    0.00   40.14    0.00   27.77
10:49:07 PM    2    1.61    0.00   16.20    0.00    0.00    7.44    0.00   22.43    0.00   52.31
10:49:07 PM    3    1.31    0.00   16.87    0.10    0.00    6.36    0.00   21.21    0.00   54.14
10:49:07 PM    4    3.22    0.00   23.44    0.00    0.00    9.15    0.00   39.74    0.00   24.45
10:49:07 PM    5    3.51    0.00   21.54    0.00    0.00    6.41    0.00   46.29    0.00   22.24
10:49:07 PM    6    1.20    0.00   19.34    0.00    0.00   15.73    0.00   19.94    0.00   43.79
10:49:07 PM    7    3.22    0.00   18.31    0.00    0.00    7.44    0.00   48.79    0.00   22.23

10:49:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:17 PM  all    2.16    0.00   18.41    0.00    0.00    8.48    0.00   30.01    0.00   40.94
10:49:17 PM    0    1.60    0.00   14.01    0.00    0.00    4.40    0.00   33.43    0.00   46.55
10:49:17 PM    1    1.61    0.00   18.25    0.00    0.00   11.09    0.00   22.58    0.00   46.47
10:49:17 PM    2    1.40    0.00   19.44    0.00    0.00   13.43    0.00   16.03    0.00   49.70
10:49:17 PM    3    1.60    0.00   17.03    0.00    0.00    7.82    0.00   19.04    0.00   54.51
10:49:17 PM    4    3.21    0.00   18.25    0.00    0.00    4.01    0.00   44.73    0.00   29.79
10:49:17 PM    5    2.22    0.00   21.41    0.10    0.00   13.23    0.00   25.05    0.00   37.98
10:49:17 PM    6    2.71    0.00   17.59    0.00    0.00    5.93    0.00   44.82    0.00   28.94
10:49:17 PM    7    2.91    0.00   21.39    0.00    0.00    7.93    0.00   34.24    0.00   33.53

10:49:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:27 PM  all    2.14    0.00   18.94    0.11    0.00    8.92    0.00   30.54    0.00   39.36
10:49:27 PM    0    1.71    0.00   18.91    0.00    0.00   10.06    0.00   24.65    0.00   44.67
10:49:27 PM    1    1.91    0.00   16.98    0.50    0.00    7.94    0.00   30.75    0.00   41.91
10:49:27 PM    2    1.80    0.00   19.04    0.20    0.00   10.82    0.00   21.74    0.00   46.39
10:49:27 PM    3    1.81    0.00   18.25    0.30    0.00    8.02    0.00   26.28    0.00   45.34
10:49:27 PM    4    3.53    0.00   22.58    0.00    0.00    6.15    0.00   34.07    0.00   33.67
10:49:27 PM    5    2.51    0.00   17.17    0.00    0.00    6.12    0.00   43.47    0.00   30.72
10:49:27 PM    6    1.62    0.00   19.33    0.00    0.00   14.68    0.00   28.34    0.00   36.03
10:49:27 PM    7    2.01    0.00   19.10    0.00    0.00    7.64    0.00   35.08    0.00   36.18

10:49:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:37 PM  all    2.37    0.00   19.64    0.13    0.00    9.02    0.00   32.08    0.00   36.76
10:49:37 PM    0    1.72    0.00   18.03    0.00    0.00    6.99    0.00   24.92    0.00   48.33
10:49:37 PM    1    1.92    0.00   18.91    0.71    0.00    9.20    0.00   18.71    0.00   50.56
10:49:37 PM    2    2.42    0.00   18.87    0.00    0.00    7.06    0.00   38.04    0.00   33.60
10:49:37 PM    3    1.91    0.00   18.69    0.00    0.00    7.74    0.00   23.12    0.00   48.54
10:49:37 PM    4    2.71    0.00   20.18    0.00    0.00    7.83    0.00   48.19    0.00   21.08
10:49:37 PM    5    4.03    0.00   21.85    0.20    0.00    7.35    0.00   39.68    0.00   26.89
10:49:37 PM    6    2.62    0.00   20.24    0.00    0.00   11.68    0.00   41.39    0.00   24.07
10:49:37 PM    7    1.61    0.00   20.36    0.10    0.00   14.21    0.00   22.58    0.00   41.13

10:49:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:47 PM  all    2.22    0.00   19.43    0.00    0.00    8.96    0.00   30.90    0.00   38.49
10:49:47 PM    0    2.12    0.00   18.97    0.00    0.00    9.18    0.00   31.89    0.00   37.84
10:49:47 PM    1    2.32    0.00   19.76    0.00    0.00    4.44    0.00   28.43    0.00   45.06
10:49:47 PM    2    1.61    0.00   15.54    0.00    0.00    3.63    0.00   22.10    0.00   57.11
10:49:47 PM    3    2.11    0.00   18.99    0.00    0.00   12.36    0.00   26.23    0.00   40.30
10:49:47 PM    4    1.41    0.00   18.11    0.00    0.00   14.49    0.00   30.48    0.00   35.51
10:49:47 PM    5    2.22    0.00   20.73    0.00    0.00   13.95    0.00   33.06    0.00   30.03
10:49:47 PM    6    2.71    0.00   20.54    0.00    0.00    4.71    0.00   34.77    0.00   37.27
10:49:47 PM    7    3.52    0.00   22.86    0.00    0.00    8.96    0.00   39.98    0.00   24.67

10:49:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:49:57 PM  all    2.24    0.00   18.58    0.00    0.00    8.55    0.00   31.19    0.00   39.44
10:49:57 PM    0    1.70    0.00   15.23    0.00    0.00    6.61    0.00   25.35    0.00   51.10
10:49:57 PM    1    1.92    0.00   17.44    0.00    0.00    7.76    0.00   39.11    0.00   33.77
10:49:57 PM    2    1.91    0.00   17.69    0.00    0.00    5.33    0.00   25.73    0.00   49.35
10:49:57 PM    3    1.72    0.00   15.99    0.00    0.00    8.40    0.00   27.13    0.00   46.76
10:49:57 PM    4    2.31    0.00   18.99    0.00    0.00   13.07    0.00   34.57    0.00   31.06
10:49:57 PM    5    3.42    0.00   20.10    0.00    0.00    3.42    0.00   53.07    0.00   20.00
10:49:57 PM    6    3.72    0.00   24.62    0.00    0.00    8.34    0.00   31.76    0.00   31.56
10:49:57 PM    7    1.11    0.00   18.51    0.00    0.00   15.59    0.00   12.78    0.00   52.01

10:49:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:07 PM  all    2.23    0.00   19.06    0.00    0.00    8.80    0.00   30.95    0.00   38.96
10:50:07 PM    0    1.61    0.00   17.47    0.00    0.00   11.04    0.00   26.31    0.00   43.57
10:50:07 PM    1    1.91    0.00   17.95    0.00    0.00   10.33    0.00   30.79    0.00   39.02
10:50:07 PM    2    1.52    0.00   17.19    0.00    0.00    8.49    0.00   15.98    0.00   56.83
10:50:07 PM    3    2.74    0.00   20.16    0.00    0.00    8.00    0.00   33.03    0.00   36.07
10:50:07 PM    4    1.01    0.00   17.09    0.00    0.00   12.86    0.00   22.01    0.00   47.04
10:50:07 PM    5    3.41    0.00   22.07    0.00    0.00    7.42    0.00   45.44    0.00   21.66
10:50:07 PM    6    2.00    0.00   20.74    0.00    0.00    9.92    0.00   19.84    0.00   47.49
10:50:07 PM    7    3.83    0.00   19.74    0.00    0.00    2.22    0.00   54.18    0.00   20.04

10:50:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:17 PM  all    2.21    0.00   19.22    0.04    0.00    8.80    0.00   30.41    0.00   39.34
10:50:17 PM    0    1.62    0.00   17.27    0.00    0.00    8.38    0.00   17.88    0.00   54.85
10:50:17 PM    1    1.51    0.00   15.19    0.00    0.00    8.05    0.00   36.82    0.00   38.43
10:50:17 PM    2    1.11    0.00   18.03    0.00    0.00   10.07    0.00   18.53    0.00   52.27
10:50:17 PM    3    1.71    0.00   18.13    0.00    0.00    8.96    0.00   19.94    0.00   51.26
10:50:17 PM    4    2.83    0.00   19.72    0.30    0.00    6.47    0.00   34.28    0.00   36.40
10:50:17 PM    5    2.22    0.00   18.45    0.00    0.00    9.38    0.00   44.66    0.00   25.30
10:50:17 PM    6    3.32    0.00   22.91    0.00    0.00    8.24    0.00   39.50    0.00   26.03
10:50:17 PM    7    3.14    0.00   24.11    0.00    0.00   10.94    0.00   31.71    0.00   30.09

10:50:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:27 PM  all    2.22    0.00   19.27    0.04    0.00    8.84    0.00   30.66    0.00   38.97
10:50:27 PM    0    1.62    0.00   20.12    0.00    0.00   11.83    0.00   15.47    0.00   50.96
10:50:27 PM    1    2.11    0.00   16.41    0.00    0.00    3.63    0.00   33.84    0.00   44.01
10:50:27 PM    2    2.42    0.00   18.89    0.10    0.00    8.99    0.00   30.40    0.00   39.19
10:50:27 PM    3    2.33    0.00   17.69    0.10    0.00    3.54    0.00   24.37    0.00   51.97
10:50:27 PM    4    3.23    0.00   25.15    0.00    0.00   11.11    0.00   30.30    0.00   30.20
10:50:27 PM    5    1.61    0.00   17.51    0.00    0.00    9.76    0.00   38.63    0.00   32.49
10:50:27 PM    6    2.11    0.00   22.07    0.00    0.00   16.85    0.00   28.69    0.00   30.29
10:50:27 PM    7    2.42    0.00   16.33    0.00    0.00    5.04    0.00   43.45    0.00   32.76

10:50:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:37 PM  all    2.24    0.00   19.52    0.04    0.00    9.18    0.00   29.81    0.00   39.21
10:50:37 PM    0    2.12    0.00   18.81    0.00    0.00   10.31    0.00   28.11    0.00   40.65
10:50:37 PM    1    1.51    0.00   16.78    0.10    0.00    7.24    0.00   16.48    0.00   57.89
10:50:37 PM    2    2.52    0.00   19.42    0.00    0.00    6.34    0.00   29.98    0.00   41.75
10:50:37 PM    3    1.81    0.00   19.08    0.10    0.00    9.54    0.00   20.68    0.00   48.80
10:50:37 PM    4    3.52    0.00   26.03    0.00    0.00   10.95    0.00   46.43    0.00   13.07
10:50:37 PM    5    2.02    0.00   16.58    0.00    0.00    6.47    0.00   45.80    0.00   29.12
10:50:37 PM    6    1.81    0.00   21.63    0.00    0.00   15.09    0.00   20.22    0.00   41.25
10:50:37 PM    7    2.32    0.00   17.98    0.00    0.00    7.37    0.00   31.11    0.00   41.21

10:50:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:47 PM  all    2.28    0.00   19.31    0.00    0.00    8.89    0.00   30.33    0.00   39.19
