# TimeStamp(s) Sum Stdev
0 0.5399 0.0878137
10 0.517263 0.0601853
20 0.517487 0.0710362
30 0.508262 0.052557
40 0.50895 0.064139
50 0.514463 0.0696458
60 0.515825 0.0787541
70 0.514463 0.0700939
80 0.50305 0.063544
90 0.500912 0.0581764
100 0.500112 0.0561377
110 0.529837 0.0986236
120 0.5146 0.0696809
130 0.5176 0.0874009
140 0.519162 0.0530508
150 0.510125 0.0640547
160 0.51705 0.0563377
170 0.51355 0.0923975
180 0.511238 0.0461227
190 0.513175 0.0571878
200 0.519938 0.0576526
210 0.50915 0.0389061
220 0.512313 0.0631851
230 0.5099 0.0538977
240 0.5134 0.0465017
250 0.513175 0.044976
260 0.518325 0.0768213
270 0.51095 0.047367
280 0.518 0.0749692
290 0.47225 0.0794667
