Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

10:26:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:26:46 PM  all    4.32    0.00   23.50    0.01    0.00    2.10    0.00   26.47    0.00   43.60
10:26:46 PM    0    3.21    0.00   19.28    0.00    0.00    3.11    0.00   17.57    0.00   56.83
10:26:46 PM    1    1.71    0.00   13.58    0.00    0.00    3.42    0.00    5.84    0.00   75.45
10:26:46 PM    2    2.01    0.00   14.84    0.00    0.00    4.01    0.00   10.93    0.00   68.20
10:26:46 PM    3    1.80    0.00   14.20    0.00    0.00    3.40    0.00   10.00    0.00   70.60
10:26:46 PM    4    6.85    0.00   32.96    0.00    0.00    0.60    0.00   44.86    0.00   14.72
10:26:46 PM    5    7.74    0.00   34.57    0.00    0.00    0.30    0.00   49.65    0.00    7.74
10:26:46 PM    6    6.24    0.00   31.82    0.00    0.00    0.50    0.00   40.99    0.00   20.44
10:26:46 PM    7    5.12    0.00   26.91    0.00    0.00    1.51    0.00   31.93    0.00   34.54

10:26:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:26:56 PM  all    4.03    0.00   22.06    0.03    0.00    1.78    0.00   24.34    0.00   47.76
10:26:56 PM    0    2.52    0.00   16.95    0.00    0.00    2.32    0.00   14.83    0.00   63.37
10:26:56 PM    1    1.91    0.00   14.69    0.00    0.00    3.32    0.00   10.56    0.00   69.52
10:26:56 PM    2    2.62    0.00   16.10    0.20    0.00    2.62    0.00   13.58    0.00   64.89
10:26:56 PM    3    3.52    0.00   19.03    0.00    0.00    1.51    0.00   20.54    0.00   55.39
10:26:56 PM    4    5.11    0.00   27.35    0.00    0.00    1.10    0.00   33.37    0.00   33.07
10:26:56 PM    5    6.02    0.00   29.12    0.00    0.00    1.10    0.00   38.25    0.00   25.50
10:26:56 PM    6    7.43    0.00   35.14    0.00    0.00    0.00    0.00   45.18    0.00   12.25
10:26:56 PM    7    3.11    0.00   17.95    0.00    0.00    2.31    0.00   18.36    0.00   58.27

10:26:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:27:06 PM  all    3.94    0.00   21.39    0.05    0.00    1.78    0.00   23.83    0.00   49.01
10:27:06 PM    0    3.61    0.00   20.44    0.40    0.00    2.10    0.00   19.34    0.00   54.11
10:27:06 PM    1    3.12    0.00   17.12    0.00    0.00    1.91    0.00   14.90    0.00   62.94
10:27:06 PM    2    2.61    0.00   17.15    0.00    0.00    2.71    0.00   16.15    0.00   61.38
10:27:06 PM    3    3.51    0.00   21.08    0.00    0.00    1.81    0.00   22.99    0.00   50.60
10:27:06 PM    4    2.00    0.00   14.43    0.00    0.00    2.20    0.00    9.82    0.00   71.54
10:27:06 PM    5    7.04    0.00   31.66    0.00    0.00    0.00    0.00   50.85    0.00   10.45
10:27:06 PM    6    6.22    0.00   30.09    0.00    0.00    0.90    0.00   35.91    0.00   26.88
10:27:06 PM    7    3.32    0.00   19.22    0.00    0.00    2.52    0.00   20.72    0.00   54.23

10:27:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:27:16 PM  all    4.15    0.00   23.19    0.00    0.00    2.00    0.00   26.04    0.00   44.62
10:27:16 PM    0    2.62    0.00   18.31    0.00    0.00    3.02    0.00   14.39    0.00   61.67
10:27:16 PM    1    2.42    0.00   15.81    0.00    0.00    2.82    0.00   12.08    0.00   66.87
10:27:16 PM    2    3.40    0.00   19.90    0.00    0.00    1.80    0.00   17.80    0.00   57.10
