# TimeStamp(s) Sum Stdev
0 0.615013 0.032631
10 0.569137 0.0436942
20 0.563725 0.0385571
30 0.542562 0.0259159
40 0.600112 0.0307186
50 0.567638 0.0353713
60 0.548212 0.0309789
70 0.568588 0.0370845
80 0.56605 0.0282074
90 0.557638 0.0236685
100 0.552275 0.0372389
110 0.566462 0.0290889
120 0.547 0.0295826
130 0.579687 0.0310882
140 0.53265 0.043602
150 0.524125 0.0308013
160 0.543562 0.0381636
170 0.525412 0.0496686
180 0.575925 0.039796
190 0.5479 0.0339236
200 0.545837 0.0361769
210 0.479375 0.0347539
220 0.505288 0.0308966
230 0.537888 0.047391
240 0.508663 0.0363928
250 0.526388 0.0410511
260 0.568438 0.0376357
270 0.56535 0.0387679
280 0.530738 0.0372443
290 0.4814 0.0359487
