# TimeStamp(s) Sum Stdev
0 3.74435e+09 1.48722e+09
10 3.62633e+09 1.69375e+09
20 3.62488e+09 1.39376e+09
30 3.70507e+09 1.36898e+09
40 3.62627e+09 7.42362e+08
50 3.57192e+09 9.06941e+08
60 3.6799e+09 1.20739e+09
70 3.63527e+09 1.51085e+09
80 3.5257e+09 1.179e+09
90 3.5847e+09 1.56462e+09
100 3.73933e+09 1.675e+09
110 3.66165e+09 1.25622e+09
120 3.58803e+09 7.17185e+08
130 3.58252e+09 1.12277e+09
140 3.57014e+09 8.60473e+08
150 3.58463e+09 1.64569e+09
160 3.59201e+09 1.40516e+09
170 3.65177e+09 1.36705e+09
180 3.57176e+09 1.5002e+09
190 3.55142e+09 1.19259e+09
200 3.61385e+09 1.35357e+09
210 3.54418e+09 1.42985e+09
220 3.52185e+09 1.07866e+09
230 3.47839e+09 4.31248e+08
240 3.60779e+09 1.48658e+09
250 3.55543e+09 1.60861e+09
260 3.65027e+09 1.61549e+09
270 3.57885e+09 9.86409e+08
280 3.57971e+09 1.52464e+09
289 3.6043e+09 1.21006e+09
