# TimeStamp(s) Sum Stdev
0 0.78195 0.0197339
10 0.789525 0.0340009
20 0.7941 0.0182386
30 0.782463 0.0114999
40 0.789013 0.0311889
50 0.79795 0.0220686
60 0.798238 0.0221292
70 0.784612 0.0218283
80 0.793725 0.0256535
90 0.797387 0.0228084
100 0.7934 0.0166489
110 0.77555 0.0100231
120 0.781925 0.0241936
130 0.780562 0.0159987
140 0.7813 0.0179901
150 0.773587 0.0330526
160 0.79115 0.0145481
170 0.78745 0.0301048
180 0.7795 0.0123414
190 0.783763 0.0243112
200 0.78195 0.0142393
210 0.767238 0.0330835
220 0.776 0.0249961
230 0.781675 0.0285256
240 0.785787 0.0193828
250 0.788062 0.0117823
260 0.786687 0.013625
270 0.794162 0.00939614
280 0.791637 0.0269417
290 0.72335 0.0126308
