# TimeStamp(s) Sum Stdev
0 0.691425 0.00793124
10 0.692488 0.0137934
20 0.687575 0.01032
30 0.69235 0.0168707
40 0.692963 0.0103928
50 0.6925 0.0128342
60 0.693525 0.0152167
70 0.692312 0.0108759
80 0.692187 0.0111556
90 0.694125 0.0113394
100 0.691137 0.0108546
110 0.689588 0.0151361
120 0.690425 0.0114317
130 0.692087 0.0124266
140 0.690188 0.00859263
150 0.690113 0.0119866
160 0.6932 0.0119075
170 0.690988 0.0125483
180 0.689838 0.0106556
190 0.69475 0.0151829
200 0.69135 0.0128306
210 0.692625 0.00724268
220 0.696113 0.0122035
230 0.691188 0.0133253
240 0.690087 0.00784398
250 0.692275 0.0119287
260 0.690925 0.0073056
270 0.693575 0.016736
280 0.6955 0.0110596
290 0.629613 0.0103944
