# TimeStamp(s) Sum Stdev
0 0.5579 0.0357171
10 0.544813 0.0423887
20 0.540987 0.0505502
30 0.5755 0.080466
40 0.530975 0.0317222
50 0.539 0.0642423
60 0.53055 0.0504406
70 0.547475 0.0599664
80 0.540975 0.0517247
90 0.550038 0.0501694
100 0.53665 0.0453858
110 0.547925 0.0490392
120 0.5612 0.0560972
130 0.552375 0.0561037
140 0.5368 0.0604059
150 0.52935 0.0565722
160 0.530512 0.0521538
170 0.533062 0.053125
180 0.54275 0.0633837
190 0.546887 0.0722149
200 0.538475 0.0534861
210 0.550975 0.0425165
220 0.527913 0.063465
230 0.541425 0.0528807
240 0.548975 0.0555215
250 0.551788 0.0563774
260 0.55215 0.0689582
270 0.563312 0.0420295
280 0.543075 0.04736
290 0.492812 0.0490296
