# TimeStamp(s) Sum Stdev
0 1.99039e+08 3.30872e+06
10 1.8613e+08 2.69524e+06
20 1.80768e+08 3.0186e+06
30 1.8141e+08 5.06813e+06
40 1.82988e+08 2.43386e+06
50 1.8216e+08 3.59199e+06
60 1.83884e+08 4.41921e+06
70 1.82583e+08 1.93255e+06
80 1.87377e+08 1.91709e+06
90 1.86124e+08 1.80253e+06
100 1.88389e+08 2.51666e+06
110 1.76605e+08 4.33212e+06
120 1.87591e+08 1.21262e+06
130 1.74117e+08 3.83938e+06
140 1.85528e+08 3.36841e+06
150 1.85815e+08 6.61923e+06
160 1.82383e+08 4.60191e+06
170 2.01985e+08 3.69288e+06
180 1.86704e+08 2.77455e+06
190 1.87975e+08 1.06596e+06
200 1.84338e+08 1.57321e+06
210 1.80143e+08 6.68087e+06
220 1.73991e+08 3.4591e+06
230 1.92848e+08 4.54142e+06
240 1.84129e+08 4.51398e+06
250 1.81042e+08 6.32781e+06
260 1.87421e+08 2.9871e+06
270 1.77256e+08 9.89539e+06
280 1.84687e+08 2.2728e+06
289 1.84685e+08 1.49878e+06
