# TimeStamp(s) Sum Stdev
0 0.533925 0.078013
10 0.492837 0.0675277
20 0.506763 0.0931465
30 0.488675 0.0795032
40 0.490725 0.0843921
50 0.4921 0.0780587
60 0.49605 0.0794265
70 0.498013 0.0555835
80 0.488125 0.0749871
90 0.493212 0.0821174
100 0.491013 0.0535455
110 0.489712 0.0713609
120 0.5222 0.0801306
130 0.5018 0.0718734
140 0.488788 0.104334
150 0.503412 0.100767
160 0.494637 0.0761556
170 0.524137 0.0926715
180 0.497225 0.0872016
190 0.498012 0.0926828
200 0.505587 0.0719072
210 0.483337 0.0362825
220 0.501337 0.0751863
230 0.527137 0.0503966
240 0.489612 0.0635108
250 0.512675 0.0814606
260 0.5186 0.0843701
270 0.49415 0.0824877
280 0.50175 0.0684529
290 0.4634 0.0843635
