# TimeStamp(s) Sum Stdev
0 8.33413e+09 1.30571e+09
10 8.48176e+09 1.00986e+09
20 8.05836e+09 9.28603e+08
30 8.21728e+09 1.01918e+09
40 8.08383e+09 8.1962e+08
50 8.32927e+09 1.60695e+09
60 7.861e+09 8.5539e+08
70 8.17139e+09 1.30539e+09
80 7.85368e+09 6.44297e+08
90 8.17843e+09 1.07233e+09
100 7.80955e+09 1.14891e+09
110 7.71358e+09 7.68422e+08
120 8.19675e+09 1.79228e+09
130 7.86953e+09 1.20245e+09
140 8.19395e+09 8.94886e+08
150 7.74705e+09 9.93806e+08
160 8.13488e+09 1.36765e+09
170 7.82934e+09 6.40078e+08
180 8.22676e+09 1.56316e+09
190 7.99289e+09 7.20308e+08
200 7.97499e+09 4.77423e+08
210 7.97081e+09 4.32607e+08
220 8.09022e+09 3.29441e+08
230 7.50842e+09 3.98629e+08
240 8.31652e+09 9.70422e+08
250 8.00666e+09 6.31159e+08
260 7.84948e+09 1.27041e+09
270 7.93622e+09 1.53398e+09
280 8.02036e+09 7.53913e+08
289 8.02487e+09 7.88586e+08
