# TimeStamp(s) Sum Stdev
0 1.61536e+10 5.13746e+09
10 1.62911e+10 5.30168e+09
20 1.62352e+10 5.12026e+09
30 1.62085e+10 5.1432e+09
40 1.62054e+10 5.23381e+09
50 1.61457e+10 5.27623e+09
60 1.62667e+10 5.37965e+09
70 1.61676e+10 5.33935e+09
80 1.61533e+10 5.3927e+09
90 1.61224e+10 5.3402e+09
100 1.61694e+10 5.44149e+09
110 1.61096e+10 4.81739e+09
120 1.62991e+10 5.68953e+09
130 1.659e+10 5.55738e+09
140 1.64409e+10 5.83678e+09
150 1.63993e+10 5.88526e+09
160 1.63348e+10 5.86728e+09
170 1.64309e+10 5.76249e+09
180 1.64312e+10 5.77668e+09
190 1.65521e+10 5.70311e+09
200 1.64461e+10 5.93943e+09
210 1.62586e+10 5.21544e+09
220 1.62604e+10 5.29197e+09
230 1.64878e+10 5.9385e+09
240 1.65334e+10 5.75806e+09
250 1.64195e+10 5.55964e+09
260 1.64345e+10 5.53618e+09
270 1.65795e+10 6.07964e+09
280 1.65451e+10 5.67331e+09
289 1.63321e+10 5.51139e+09
