Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:00:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:20 AM  all    1.50    0.00   33.77    0.03    0.00    6.27    0.00   39.03    0.00   19.40
12:00:20 AM    0    1.33    0.00   31.87    0.00    0.00    3.98    0.00   42.70    0.00   20.12
12:00:20 AM    1    1.33    0.00   36.54    0.10    0.00    8.19    0.00   30.40    0.00   23.44
12:00:20 AM    2    1.33    0.00   34.26    0.00    0.00    4.41    0.00   39.79    0.00   20.21
12:00:20 AM    3    1.53    0.00   34.35    0.00    0.00    6.83    0.00   31.40    0.00   25.89
12:00:20 AM    4    1.64    0.00   33.13    0.00    0.00    6.03    0.00   41.82    0.00   17.38
12:00:20 AM    5    1.43    0.00   35.47    0.00    0.00    7.75    0.00   39.45    0.00   15.90
12:00:20 AM    6    1.62    0.00   35.13    0.00    0.00    5.48    0.00   41.32    0.00   16.45
12:00:20 AM    7    1.72    0.00   29.31    0.00    0.00    7.61    0.00   45.44    0.00   15.92

12:00:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:30 AM  all    1.47    0.00   34.03    0.04    0.00    6.27    0.00   39.17    0.00   19.02
12:00:30 AM    0    0.91    0.00   30.76    0.00    0.00    3.35    0.00   51.27    0.00   13.71
12:00:30 AM    1    1.74    0.00   33.67    0.00    0.00    5.83    0.00   35.72    0.00   23.03
12:00:30 AM    2    1.53    0.00   34.08    0.00    0.00    6.21    0.00   38.35    0.00   19.84
12:00:30 AM    3    1.85    0.00   37.99    0.00    0.00    6.67    0.00   29.06    0.00   24.44
12:00:30 AM    4    1.33    0.00   26.73    0.00    0.00    5.31    0.00   54.49    0.00   12.14
12:00:30 AM    5    1.23    0.00   33.74    0.00    0.00    8.21    0.00   37.54    0.00   19.28
12:00:30 AM    6    1.33    0.00   36.29    0.31    0.00    7.14    0.00   39.35    0.00   15.60
