# TimeStamp(s) Sum Stdev
0 4.28935e+10 3.02781e+09
10 4.29513e+10 2.65067e+09
20 4.25095e+10 3.16631e+09
30 4.29258e+10 2.87448e+09
40 4.29541e+10 2.78632e+09
50 4.3038e+10 2.50501e+09
60 4.29257e+10 2.79534e+09
70 4.28453e+10 2.72386e+09
80 4.29376e+10 2.59324e+09
90 4.32022e+10 2.68577e+09
100 4.27842e+10 2.3936e+09
110 4.28425e+10 3.17963e+09
120 4.27949e+10 2.95163e+09
130 4.29269e+10 3.01442e+09
140 4.27777e+10 2.96805e+09
150 4.27311e+10 2.87832e+09
160 4.2794e+10 2.80849e+09
170 4.28262e+10 3.33661e+09
180 4.28763e+10 2.79374e+09
190 4.31558e+10 2.87717e+09
200 4.29953e+10 2.81086e+09
210 4.28071e+10 2.63826e+09
220 4.31307e+10 2.92343e+09
230 4.2852e+10 2.80296e+09
240 4.27458e+10 3.15276e+09
250 4.2984e+10 2.85398e+09
260 4.28109e+10 2.87709e+09
270 4.30527e+10 2.67276e+09
280 4.30871e+10 2.90451e+09
289 4.2891e+10 2.84441e+09
