# TimeStamp(s) Sum Stdev
0 7.4685e+09 2.60609e+09
10 7.36854e+09 2.72938e+09
20 7.55925e+09 2.92734e+09
30 7.24901e+09 2.3444e+09
40 7.26325e+09 2.23329e+09
50 7.55746e+09 2.68898e+09
60 7.37381e+09 2.94528e+09
70 7.25889e+09 2.34614e+09
80 7.35519e+09 2.68076e+09
90 7.35037e+09 2.86173e+09
100 7.40953e+09 2.87245e+09
110 7.38204e+09 2.83469e+09
120 7.31486e+09 2.96515e+09
130 7.11765e+09 2.66598e+09
140 6.93903e+09 2.80864e+09
150 7.02353e+09 2.8405e+09
160 7.06327e+09 2.85053e+09
170 7.27501e+09 2.91992e+09
180 6.96813e+09 2.69644e+09
190 7.37698e+09 3.12746e+09
200 7.17971e+09 2.7226e+09
210 6.99569e+09 2.79653e+09
220 7.26288e+09 2.48307e+09
230 7.25269e+09 2.56974e+09
240 7.04895e+09 2.93635e+09
250 7.31594e+09 2.73557e+09
260 7.4578e+09 3.12293e+09
270 7.24036e+09 2.8234e+09
280 7.40078e+09 2.94865e+09
289 7.26509e+09 2.73377e+09
