Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

11:38:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:19 PM  all    2.09    0.00   34.74    0.03    0.00    9.19    0.00   42.91    0.00   11.04
11:38:19 PM    0    1.94    0.00   25.38    0.00    0.00    6.04    0.00   58.75    0.00    7.88
11:38:19 PM    1    2.19    0.00   34.69    0.00    0.00   13.90    0.00   33.02    0.00   16.20
11:38:19 PM    2    1.84    0.00   29.79    0.00    0.00    3.48    0.00   55.78    0.00    9.11
11:38:19 PM    3    3.53    0.00   39.29    0.00    0.00    6.44    0.00   35.97    0.00   14.76
11:38:19 PM    4    1.96    0.00   33.99    0.00    0.00    6.59    0.00   48.61    0.00    8.86
11:38:19 PM    5    1.24    0.00   37.32    0.00    0.00   17.42    0.00   32.58    0.00   11.44
11:38:19 PM    6    1.94    0.00   37.67    0.00    0.00    6.96    0.00   44.73    0.00    8.70
11:38:19 PM    7    2.18    0.00   39.92    0.21    0.00   12.79    0.00   33.47    0.00   11.43

11:38:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:29 PM  all    1.99    0.00   35.79    0.03    0.00    9.22    0.00   42.80    0.00   10.17
11:38:29 PM    0    2.05    0.00   31.08    0.10    0.00    4.00    0.00   53.95    0.00    8.82
11:38:29 PM    1    2.69    0.00   39.59    0.21    0.00    7.36    0.00   37.93    0.00   12.23
11:38:29 PM    2    1.42    0.00   22.97    0.00    0.00    4.17    0.00   64.74    0.00    6.71
11:38:29 PM    3    2.60    0.00   41.25    0.00    0.00   13.65    0.00   29.79    0.00   12.71
11:38:29 PM    4    2.26    0.00   35.93    0.00    0.00    6.88    0.00   47.43    0.00    7.49
11:38:29 PM    5    2.40    0.00   41.59    0.00    0.00    8.88    0.00   34.48    0.00   12.64
11:38:29 PM    6    1.44    0.00   35.69    0.00    0.00    6.56    0.00   47.18    0.00    9.13
11:38:29 PM    7    1.16    0.00   38.63    0.00    0.00   22.63    0.00   25.79    0.00   11.79

11:38:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:39 PM  all    2.02    0.00   34.92    0.04    0.00    9.08    0.00   42.89    0.00   11.05
11:38:39 PM    0    1.97    0.00   38.90    0.00    0.00    9.65    0.00   37.76    0.00   11.72
11:38:39 PM    1    1.42    0.00   24.47    0.00    0.00    3.55    0.00   60.71    0.00    9.85
11:38:39 PM    2    3.20    0.00   34.74    0.00    0.00    4.95    0.00   44.74    0.00   12.37
11:38:39 PM    3    1.97    0.00   37.28    0.00    0.00    9.14    0.00   39.56    0.00   12.05
11:38:39 PM    4    1.35    0.00   34.79    0.00    0.00   17.50    0.00   35.10    0.00   11.25
11:38:39 PM    5    1.21    0.00   26.59    0.20    0.00    6.07    0.00   59.76    0.00    6.17
11:38:39 PM    6    2.47    0.00   39.30    0.00    0.00    7.10    0.00   38.68    0.00   12.45
11:38:39 PM    7    2.39    0.00   43.76    0.00    0.00   14.97    0.00   26.09    0.00   12.79

11:38:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:49 PM  all    2.02    0.00   34.17    0.01    0.00    9.20    0.00   43.34    0.00   11.25
11:38:49 PM    0    1.42    0.00   21.95    0.00    0.00    3.76    0.00   66.36    0.00    6.50
11:38:49 PM    1    2.62    0.00   36.06    0.00    0.00    8.18    0.00   29.56    0.00   23.58
11:38:49 PM    2    1.44    0.00   29.94    0.00    0.00    7.00    0.00   52.16    0.00    9.47
11:38:49 PM    3    2.78    0.00   35.32    0.10    0.00    4.74    0.00   47.17    0.00    9.89
11:38:49 PM    4    2.14    0.00   35.31    0.10    0.00    5.61    0.00   49.49    0.00    7.35
11:38:49 PM    5    1.66    0.00   43.42    0.00    0.00   24.04    0.00   18.86    0.00   12.02
11:38:49 PM    6    2.17    0.00   33.33    0.00    0.00   11.46    0.00   42.41    0.00   10.63
11:38:49 PM    7    2.07    0.00   38.20    0.00    0.00    9.11    0.00   39.75    0.00   10.87

11:38:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:38:59 PM  all    1.92    0.00   34.10    0.03    0.00    9.10    0.00   42.46    0.00   12.40
11:38:59 PM    0    2.40    0.00   38.94    0.10    0.00   10.75    0.00   31.32    0.00   16.49
11:38:59 PM    1    2.36    0.00   32.14    0.00    0.00    6.47    0.00   48.36    0.00   10.68
11:38:59 PM    2    2.08    0.00   33.30    0.00    0.00    7.49    0.00   42.35    0.00   14.78
11:38:59 PM    3    2.05    0.00   34.46    0.00    0.00    5.54    0.00   49.03    0.00    8.92
11:38:59 PM    4    1.86    0.00   37.68    0.00    0.00   15.32    0.00   31.57    0.00   13.56
11:38:59 PM    5    1.32    0.00   24.42    0.00    0.00    5.67    0.00   60.69    0.00    7.90
11:38:59 PM    6    2.30    0.00   45.03    0.00    0.00   13.40    0.00   21.88    0.00   17.38
11:38:59 PM    7    1.13    0.00   27.26    0.00    0.00    8.33    0.00   53.60    0.00    9.67

11:38:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:39:09 PM  all    2.03    0.00   34.42    0.00    0.00    8.94    0.00   42.61    0.00   12.00
11:39:09 PM    0    2.87    0.00   32.00    0.00    0.00    3.79    0.00   52.62    0.00    8.72
11:39:09 PM    1    2.30    0.00   37.16    0.00    0.00    7.41    0.00   35.70    0.00   17.43
11:39:09 PM    2    1.87    0.00   34.68    0.00    0.00   10.38    0.00   38.01    0.00   15.06
11:39:09 PM    3    2.06    0.00   32.16    0.00    0.00    8.66    0.00   47.22    0.00    9.90
11:39:09 PM    4    1.23    0.00   30.83    0.00    0.00    7.61    0.00   51.08    0.00    9.25
