# TimeStamp(s) Sum Stdev
0 1.53275e+09 5.28935e+08
10 1.63016e+09 4.70002e+08
20 1.64542e+09 4.47158e+08
30 1.51886e+09 5.47025e+08
40 1.64976e+09 5.59092e+08
50 1.68634e+09 5.60701e+08
60 1.67911e+09 5.66881e+08
70 1.51412e+09 6.09551e+08
80 1.65057e+09 4.3897e+08
90 1.68244e+09 5.73724e+08
100 1.59098e+09 3.79805e+08
110 1.48746e+09 7.01131e+08
120 1.5457e+09 6.31862e+08
130 1.53011e+09 3.97861e+08
140 1.58692e+09 1.76604e+08
150 1.51518e+09 4.44281e+08
160 1.64377e+09 4.6953e+08
170 1.62158e+09 4.34428e+08
180 1.55262e+09 5.02841e+08
190 1.50794e+09 7.05172e+08
200 1.51456e+09 6.70649e+08
210 1.49045e+09 5.00037e+08
220 1.51141e+09 5.56542e+08
230 1.54176e+09 4.33646e+08
240 1.58688e+09 3.45158e+08
250 1.53417e+09 7.12721e+08
260 1.52336e+09 7.15317e+08
270 1.67079e+09 5.06374e+08
280 1.65936e+09 5.70729e+08
289 1.58193e+09 2.07069e+08
