# TimeStamp(s) Sum Stdev
0 0.538363 0.0990917
10 0.504687 0.0779262
20 0.503688 0.072721
30 0.499475 0.0560376
40 0.504463 0.0800187
50 0.492587 0.05733
60 0.499937 0.0648162
70 0.49915 0.0480948
80 0.501325 0.0886621
90 0.498075 0.0726892
100 0.5109 0.0574024
110 0.505413 0.0782696
120 0.4956 0.0740903
130 0.496563 0.0608648
140 0.498112 0.0443322
150 0.501337 0.0866211
160 0.500887 0.0771482
170 0.4984 0.0514351
180 0.49575 0.0807092
190 0.497925 0.0702301
200 0.49735 0.065175
210 0.496663 0.0443612
220 0.49735 0.0584372
230 0.5008 0.0756377
240 0.496463 0.0882835
250 0.4978 0.0778025
260 0.500988 0.0696585
270 0.4976 0.0875333
280 0.499937 0.07122
290 0.452 0.044146
