# TimeStamp(s) Sum Stdev
0 0.805862 0.0122957
10 0.809663 0.0158393
20 0.805938 0.011204
30 0.8097 0.0084853
40 0.809187 0.0119927
50 0.8063 0.00646162
60 0.810125 0.0124195
70 0.808288 0.0110404
80 0.809163 0.0082257
90 0.805875 0.0107036
100 0.809038 0.0137057
110 0.805738 0.0119927
120 0.812725 0.0209074
130 0.8153 0.010961
140 0.813075 0.012654
150 0.814438 0.018388
160 0.81215 0.0142308
170 0.812863 0.0120457
180 0.81475 0.0118574
190 0.813213 0.0119792
200 0.813 0.0218566
210 0.81065 0.0139305
220 0.810587 0.0093816
230 0.816075 0.0173526
240 0.817688 0.0183398
250 0.8124 0.0153633
260 0.81315 0.0126407
270 0.8155 0.0147266
280 0.8179 0.0176867
290 0.7445 0.0175502
