# TimeStamp(s) Sum Stdev
0 4.90953e+09 7.12838e+08
10.25 4.7375e+09 5.51842e+08
20 4.60994e+09 5.98469e+08
30 4.92583e+09 8.72926e+08
40 4.52323e+09 4.28421e+08
50 5.03114e+09 1.09007e+09
60 5.08155e+09 8.0814e+08
70 4.99917e+09 1.12953e+09
80 4.73928e+09 3.99212e+08
90 4.69099e+09 8.18707e+08
100 4.31666e+09 2.92523e+08
110 4.82465e+09 5.15224e+08
120 4.59195e+09 6.27832e+08
130 4.69962e+09 7.44742e+08
140 4.43223e+09 5.0008e+08
150 4.73289e+09 9.1791e+08
160 4.35567e+09 4.66005e+08
170 4.69151e+09 6.63596e+08
180 4.57759e+09 4.04072e+08
190 4.62925e+09 5.7017e+08
200 4.68594e+09 7.55905e+08
210.25 4.68418e+09 6.81983e+08
220 4.66073e+09 7.27435e+08
230 4.91432e+09 1.03173e+09
240 4.78261e+09 7.01036e+08
250 4.84471e+09 1.13902e+09
260.25 4.56228e+09 6.56661e+08
270 4.94388e+09 1.04977e+09
280 4.61865e+09 7.53772e+08
289 4.7036e+09 6.15668e+08
