# TimeStamp(s) Sum Stdev
0 0.503425 0.0421264
10 0.485913 0.0418523
20 0.458875 0.0430063
30 0.505438 0.0386866
40 0.468625 0.0302473
50 0.521688 0.0341958
60 0.518225 0.0271784
70 0.509662 0.0445169
80 0.46725 0.0285767
90 0.465187 0.0245271
100 0.432438 0.0391291
110 0.484075 0.0343164
120 0.457425 0.042836
130 0.465862 0.039414
140 0.438725 0.0609221
150 0.484 0.0453799
160 0.427887 0.0375486
170 0.466825 0.054125
180 0.455275 0.0517238
190 0.45755 0.028776
200 0.471413 0.0380212
210 0.468425 0.0300417
220 0.468813 0.0510984
230 0.501663 0.0404368
240 0.483912 0.0424823
250 0.497012 0.0412684
260 0.464587 0.048374
270 0.497888 0.0139401
280 0.454537 0.0327333
290 0.379775 0.0207223
