Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:11:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:20 AM  all    1.30    0.00   35.73    0.00    0.00    4.22    0.00   34.63    0.00   24.11
12:12:20 AM    0    1.53    0.00   35.50    0.00    0.00    3.56    0.00   31.84    0.00   27.57
12:12:20 AM    1    1.03    0.00   35.91    0.00    0.00    4.73    0.00   32.10    0.00   26.23
12:12:20 AM    2    1.32    0.00   33.37    0.00    0.00    3.14    0.00   39.05    0.00   23.12
12:12:20 AM    3    1.12    0.00   37.01    0.00    0.00    4.29    0.00   32.31    0.00   25.26
12:12:20 AM    4    1.23    0.00   39.61    0.00    0.00    3.38    0.00   32.34    0.00   23.44
12:12:20 AM    5    1.43    0.00   36.97    0.00    0.00    5.91    0.00   31.47    0.00   24.24
12:12:20 AM    6    1.32    0.00   33.81    0.00    0.00    4.28    0.00   39.51    0.00   21.08
12:12:20 AM    7    1.63    0.00   33.67    0.00    0.00    4.39    0.00   38.16    0.00   22.14

12:12:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:30 AM  all    1.34    0.00   35.73    0.04    0.00    4.27    0.00   34.49    0.00   24.14
12:12:30 AM    0    1.12    0.00   35.64    0.00    0.00    4.68    0.00   33.60    0.00   24.95
12:12:30 AM    1    1.33    0.00   36.43    0.00    0.00    3.27    0.00   33.88    0.00   25.10
12:12:30 AM    2    1.23    0.00   35.96    0.00    0.00    5.01    0.00   29.32    0.00   28.50
12:12:30 AM    3    1.12    0.00   36.97    0.00    0.00    3.77    0.00   34.52    0.00   23.63
12:12:30 AM    4    1.22    0.00   33.74    0.30    0.00    4.27    0.00   40.04    0.00   20.43
12:12:30 AM    5    1.52    0.00   37.53    0.00    0.00    4.26    0.00   32.56    0.00   24.14
12:12:30 AM    6    1.63    0.00   36.19    0.00    0.00    4.79    0.00   33.13    0.00   24.26
12:12:30 AM    7    1.43    0.00   33.23    0.00    0.00    4.19    0.00   38.96    0.00   22.19

12:12:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:40 AM  all    1.44    0.00   35.36    0.00    0.00    4.29    0.00   34.54    0.00   24.37
12:12:40 AM    0    1.42    0.00   32.73    0.10    0.00    3.34    0.00   38.70    0.00   23.71
12:12:40 AM    1    1.43    0.00   36.98    0.00    0.00    4.49    0.00   30.85    0.00   26.25
12:12:40 AM    2    1.73    0.00   35.64    0.00    0.00    4.07    0.00   31.36    0.00   27.19
12:12:40 AM    3    1.32    0.00   33.43    0.00    0.00    4.66    0.00   32.83    0.00   27.76
12:12:40 AM    4    1.02    0.00   35.44    0.00    0.00    3.78    0.00   40.45    0.00   19.31
12:12:40 AM    5    1.43    0.00   36.68    0.00    0.00    4.82    0.00   32.07    0.00   25.00
12:12:40 AM    6    1.53    0.00   36.50    0.00    0.00    4.09    0.00   33.64    0.00   24.23
12:12:40 AM    7    1.52    0.00   35.39    0.00    0.00    5.06    0.00   36.50    0.00   21.54

12:12:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:12:50 AM  all    1.34    0.00   35.54    0.00    0.00    4.41    0.00   34.47    0.00   24.25
12:12:50 AM    0    1.33    0.00   35.65    0.00    0.00    5.31    0.00   29.42    0.00   28.29
12:12:50 AM    1    1.44    0.00   35.01    0.00    0.00    4.00    0.00   32.75    0.00   26.80
12:12:50 AM    2    1.22    0.00   36.11    0.00    0.00    4.68    0.00   32.86    0.00   25.13
12:12:50 AM    3    1.12    0.00   35.06    0.00    0.00    3.25    0.00   35.37    0.00   25.20
12:12:50 AM    4    1.63    0.00   36.49    0.00    0.00    4.89    0.00   33.84    0.00   23.14
12:12:50 AM    5    1.23    0.00   36.36    0.00    0.00    4.19    0.00   35.75    0.00   22.47
12:12:50 AM    6    1.22    0.00   35.46    0.00    0.00    5.17    0.00   35.56    0.00   22.59
12:12:50 AM    7    1.52    0.00   34.18    0.00    0.00    3.85    0.00   40.06    0.00   20.39

12:12:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:00 AM  all    1.35    0.00   35.72    0.00    0.00    4.14    0.00   34.67    0.00   24.12
12:13:00 AM    0    1.12    0.00   36.05    0.00    0.00    3.97    0.00   36.46    0.00   22.40
12:13:00 AM    1    1.43    0.00   34.66    0.00    0.00    4.59    0.00   31.60    0.00   27.73
12:13:00 AM    2    1.22    0.00   36.46    0.00    0.00    4.28    0.00   29.94    0.00   28.11
12:13:00 AM    3    1.12    0.00   38.16    0.00    0.00    4.39    0.00   27.86    0.00   28.47
12:13:00 AM    4    1.82    0.00   30.37    0.00    0.00    3.23    0.00   48.23    0.00   16.35
12:13:00 AM    5    1.43    0.00   36.76    0.00    0.00    5.40    0.00   31.47    0.00   24.95
