Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

10:10:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:10:14 PM  all    4.55    0.00   23.48    0.04    0.00    0.30    0.00   24.99    0.00   46.64
10:10:14 PM    0    2.91    0.00   17.19    0.10    0.00    0.50    0.00   15.18    0.00   64.12
10:10:14 PM    1    6.04    0.00   29.68    0.00    0.00    0.10    0.00   33.80    0.00   30.38
10:10:14 PM    2    2.30    0.00   14.41    0.00    0.00    0.50    0.00    9.51    0.00   73.27
10:10:14 PM    3    2.00    0.00   11.62    0.20    0.00    0.20    0.00    6.81    0.00   79.16
10:10:14 PM    4    6.11    0.00   30.56    0.00    0.00    0.20    0.00   34.67    0.00   28.46
10:10:14 PM    5    5.34    0.00   26.51    0.00    0.00    0.50    0.00   27.62    0.00   40.02
10:10:14 PM    6    4.61    0.00   24.05    0.00    0.00    0.30    0.00   25.85    0.00   45.19
10:10:14 PM    7    7.24    0.00   33.87    0.00    0.00    0.00    0.00   46.63    0.00   12.26

10:10:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:10:24 PM  all    4.28    0.00   21.79    0.04    0.00    0.28    0.00   22.89    0.00   50.73
10:10:24 PM    0    2.51    0.00   14.03    0.30    0.00    0.50    0.00   11.92    0.00   70.74
10:10:24 PM    1    2.31    0.00   13.65    0.00    0.00    0.30    0.00   11.75    0.00   71.99
10:10:24 PM    2    2.40    0.00   15.83    0.00    0.00    0.30    0.00   11.12    0.00   70.34
10:10:24 PM    3    3.31    0.00   17.75    0.00    0.00    0.30    0.00   18.56    0.00   60.08
10:10:24 PM    4    4.81    0.00   25.38    0.00    0.00    0.40    0.00   27.88    0.00   41.52
10:10:24 PM    5    7.65    0.00   33.20    0.00    0.00    0.00    0.00   42.05    0.00   17.10
10:10:24 PM    6    5.52    0.00   27.28    0.00    0.00    0.40    0.00   29.59    0.00   37.21
10:10:24 PM    7    5.42    0.00   27.21    0.00    0.00    0.30    0.00   30.32    0.00   36.75

10:10:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:10:34 PM  all    4.43    0.00   22.44    0.08    0.00    0.21    0.00   23.47    0.00   49.37
10:10:34 PM    0    2.21    0.00   12.64    0.00    0.00    0.20    0.00   10.43    0.00   74.52
10:10:34 PM    1    3.52    0.00   19.22    0.00    0.00    0.30    0.00   17.30    0.00   59.66
10:10:34 PM    2    3.31    0.00   17.75    0.20    0.00    0.10    0.00   17.95    0.00   60.68
10:10:34 PM    3    3.31    0.00   17.54    0.00    0.00    0.40    0.00   16.73    0.00   62.02
10:10:34 PM    4    7.47    0.00   34.44    0.00    0.00    0.10    0.00   43.43    0.00   14.55
10:10:34 PM    5    8.47    0.00   38.71    0.00    0.00    0.00    0.00   44.66    0.00    8.17
10:10:34 PM    6    5.93    0.00   30.55    0.00    0.00    0.10    0.00   33.17    0.00   30.25
10:10:34 PM    7    1.31    0.00    8.84    0.40    0.00    0.40    0.00    4.32    0.00   84.74

10:10:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:10:44 PM  all    4.20    0.00   21.56    0.09    0.00    0.29    0.00   22.69    0.00   51.17
10:10:44 PM    0    3.52    0.00   18.41    0.00    0.00    0.30    0.00   17.20    0.00   60.56
10:10:44 PM    1    4.11    0.00   21.34    0.00    0.00    0.30    0.00   20.94    0.00   53.31
10:10:44 PM    2    3.30    0.00   17.20    0.50    0.00    0.40    0.00   16.70    0.00   61.90
10:10:44 PM    3    1.60    0.00    8.52    0.00    0.00    0.60    0.00    8.22    0.00   81.06
10:10:44 PM    4    7.65    0.00   37.93    0.00    0.00    0.00    0.00   44.67    0.00    9.76
10:10:44 PM    5    2.61    0.00   16.13    0.00    0.00    0.30    0.00    9.32    0.00   71.64
10:10:44 PM    6    4.42    0.00   21.61    0.20    0.00    0.30    0.00   25.53    0.00   47.94
10:10:44 PM    7    6.53    0.00   31.43    0.00    0.00    0.10    0.00   39.06    0.00   22.89

10:10:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
