# TimeStamp(s) Sum Stdev
0 0.535288 0.0402308
10 0.533338 0.0484411
20 0.5285 0.0510142
30 0.521288 0.0360636
40 0.525125 0.0560856
50 0.4897 0.0616984
60 0.517338 0.0342694
70 0.501 0.0561284
80 0.524112 0.0462573
90 0.514 0.0465433
100 0.539525 0.0368631
110 0.535513 0.047653
120 0.54985 0.050901
130 0.55335 0.0485527
140 0.519688 0.0449186
150 0.5415 0.0297245
160 0.541425 0.0388465
170 0.5349 0.0483774
180 0.49485 0.0362598
190 0.533475 0.0458799
200 0.523488 0.0362687
210 0.5426 0.0378432
220 0.553425 0.0422632
230 0.513038 0.0593772
240 0.530587 0.0360155
250 0.54355 0.0434713
260 0.525713 0.0311167
270 0.544675 0.0426817
280 0.54485 0.0328296
290 0.493388 0.0373842
