# TimeStamp(s) Sum Stdev
0 0.733488 0.021382
10 0.733738 0.0069486
20 0.727125 0.0243795
30 0.7304 0.0318194
40 0.728525 0.0180912
50 0.730912 0.0198131
60 0.729513 0.0313438
70 0.729312 0.0222985
80 0.7347 0.0112042
90 0.731838 0.0172379
100 0.731038 0.0112785
110 0.727975 0.0256519
120 0.732413 0.0300992
130 0.7285 0.0219644
140 0.731787 0.0271968
150 0.735075 0.0178824
160 0.733675 0.0194003
170 0.73485 0.0116044
180 0.731437 0.021008
190 0.7328 0.025136
200 0.736112 0.0258847
210 0.7369 0.0175692
220 0.738313 0.0234108
230 0.738187 0.018519
240 0.73155 0.0349744
250 0.73415 0.030899
260 0.73475 0.0124131
270 0.728375 0.0143265
280 0.731363 0.0303285
290 0.67305 0.0255506
