# TimeStamp(s) Sum Stdev
0 0.55165 0.0384615
10 0.501925 0.0350476
20 0.5274 0.0562672
30 0.507413 0.0512801
40 0.517212 0.028961
50 0.513575 0.04505
60 0.510663 0.0360478
70 0.532662 0.0209562
80 0.521463 0.0487175
90 0.513713 0.0283113
100 0.537762 0.0349648
110 0.528475 0.0351427
120 0.51315 0.0322427
130 0.475375 0.0376829
140 0.483287 0.0322096
150 0.482775 0.0383542
160 0.498637 0.0341108
170 0.503413 0.0401318
180 0.506975 0.0339703
190 0.515962 0.0470917
200 0.536025 0.030874
210 0.5174 0.0401414
220 0.477537 0.0448421
230 0.4878 0.0379649
240 0.4997 0.0264006
250 0.503475 0.0569016
260 0.515025 0.0301318
270 0.510775 0.0335839
280 0.520087 0.0410734
290 0.434837 0.0416439
