# TimeStamp(s) Sum Stdev
0 2.39328e+09 2.23683e+08
10 2.35459e+09 1.02017e+08
20 2.29515e+09 2.23454e+08
30 2.51991e+09 2.02566e+08
40 2.37642e+09 1.89186e+08
50 2.28613e+09 1.59988e+08
60 2.25481e+09 1.66747e+08
70 2.31334e+09 1.20442e+08
80 2.31144e+09 1.99511e+08
90 2.38244e+09 1.06953e+08
100 2.35726e+09 1.67182e+08
110 2.38008e+09 1.65668e+08
120 2.402e+09 1.50265e+08
130 2.43311e+09 2.13404e+08
140 2.32585e+09 1.55659e+08
150 2.37805e+09 1.67372e+08
160 2.24933e+09 7.28209e+07
170 2.23006e+09 1.02914e+08
180 2.40197e+09 2.2881e+08
190 2.31218e+09 1.18468e+08
200 2.35631e+09 1.81417e+08
210 2.44058e+09 1.64251e+08
220 2.34896e+09 1.99044e+08
230 2.32445e+09 1.17925e+08
240 2.40552e+09 1.37372e+08
250 2.3311e+09 1.2137e+08
260 2.40278e+09 1.83888e+08
270 2.44324e+09 2.04286e+08
280 2.31693e+09 1.45396e+08
289 2.35644e+09 1.43836e+08
