# TimeStamp(s) Sum Stdev
0 0.889525 0.0100556
10 0.8981 0.00805017
20 0.889187 0.00723117
30 0.887113 0.0174968
40 0.875775 0.0119443
50 0.8798 0.0104969
60 0.882713 0.012279
70 0.891663 0.00799545
80 0.886037 0.00513773
90 0.888313 0.0138882
100 0.903637 0.00982676
110 0.888212 0.0103987
120 0.891825 0.0146865
130 0.865038 0.0150613
140 0.869163 0.0182067
150 0.892425 0.00698516
160 0.889637 0.00652823
170 0.893688 0.00983332
180 0.886387 0.0163468
190 0.854488 0.0207027
200 0.895 0.00975332
210 0.88895 0.00238544
220 0.851312 0.0161675
230 0.8544 0.00717169
240 0.89745 0.00729745
250 0.890887 0.00722702
260 0.891425 0.0109084
270 0.877775 0.018935
280 0.885075 0.00830348
290 0.820925 0.0100676
