Linux 3.19.5-200.fc21.x86_64 (bark) 	07/24/2015 	_x86_64_	(8 CPU)

11:54:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:54:50 PM  all    1.37    0.00   32.17    0.00    0.00    7.14    0.00   39.40    0.00   19.92
11:54:50 PM    0    1.02    0.00   29.68    0.00    0.00    6.76    0.00   44.42    0.00   18.12
11:54:50 PM    1    1.02    0.00   25.18    0.00    0.00    6.73    0.00   47.09    0.00   19.98
11:54:50 PM    2    1.43    0.00   28.43    0.00    0.00    3.27    0.00   47.34    0.00   19.53
11:54:50 PM    3    1.33    0.00   36.51    0.00    0.00    7.79    0.00   27.18    0.00   27.18
11:54:50 PM    4    1.54    0.00   38.91    0.00    0.00    6.98    0.00   33.16    0.00   19.40
11:54:50 PM    5    1.53    0.00   27.70    0.00    0.00    8.25    0.00   43.69    0.00   18.84
11:54:50 PM    6    1.33    0.00   32.10    0.00    0.00    6.15    0.00   42.67    0.00   17.74
11:54:50 PM    7    1.33    0.00   39.04    0.00    0.00   11.07    0.00   29.82    0.00   18.75

11:54:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:00 PM  all    1.44    0.00   33.44    0.01    0.00    7.30    0.00   39.27    0.00   18.55
11:55:00 PM    0    1.33    0.00   28.76    0.10    0.00    5.53    0.00   42.37    0.00   21.90
11:55:00 PM    1    1.63    0.00   33.88    0.00    0.00    6.73    0.00   37.14    0.00   20.61
11:55:00 PM    2    1.33    0.00   33.81    0.00    0.00    6.76    0.00   38.22    0.00   19.88
11:55:00 PM    3    1.13    0.00   28.34    0.00    0.00    6.98    0.00   42.20    0.00   21.36
11:55:00 PM    4    1.43    0.00   29.93    0.00    0.00    6.33    0.00   50.77    0.00   11.54
11:55:00 PM    5    2.04    0.00   32.86    0.00    0.00    6.43    0.00   40.82    0.00   17.86
11:55:00 PM    6    1.55    0.00   41.04    0.00    0.00    6.84    0.00   35.13    0.00   15.44
11:55:00 PM    7    1.45    0.00   39.09    0.00    0.00   12.93    0.00   26.99    0.00   19.54

11:55:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:10 PM  all    1.27    0.00   31.88    0.00    0.00    7.07    0.00   39.61    0.00   20.17
11:55:10 PM    0    1.22    0.00   28.72    0.00    0.00    5.50    0.00   42.46    0.00   22.10
11:55:10 PM    1    1.33    0.00   31.56    0.00    0.00    6.86    0.00   36.27    0.00   23.98
11:55:10 PM    2    1.23    0.00   31.07    0.00    0.00    5.86    0.00   36.73    0.00   25.10
11:55:10 PM    3    1.13    0.00   29.80    0.00    0.00    5.65    0.00   40.29    0.00   23.12
11:55:10 PM    4    1.22    0.00   33.57    0.00    0.00    7.14    0.00   42.14    0.00   15.92
11:55:10 PM    5    1.13    0.00   29.63    0.00    0.00    8.74    0.00   44.65    0.00   15.84
11:55:10 PM    6    1.23    0.00   33.95    0.00    0.00    9.82    0.00   37.73    0.00   17.28
11:55:10 PM    7    1.64    0.00   36.40    0.00    0.00    7.16    0.00   36.61    0.00   18.20

11:55:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:20 PM  all    1.35    0.00   32.86    0.01    0.00    7.25    0.00   39.44    0.00   19.09
11:55:20 PM    0    1.43    0.00   35.93    0.00    0.00    6.86    0.00   34.39    0.00   21.39
11:55:20 PM    1    1.02    0.00   30.85    0.00    0.00    6.84    0.00   39.02    0.00   22.27
11:55:20 PM    2    1.74    0.00   33.40    0.10    0.00    4.49    0.00   36.36    0.00   23.90
11:55:20 PM    3    1.12    0.00   31.78    0.00    0.00    7.41    0.00   37.26    0.00   22.44
11:55:20 PM    4    1.52    0.00   28.66    0.00    0.00    6.10    0.00   46.65    0.00   17.07
11:55:20 PM    5    1.01    0.00   30.47    0.00    0.00   10.02    0.00   46.56    0.00   11.94
11:55:20 PM    6    1.64    0.00   39.04    0.00    0.00    7.48    0.00   35.96    0.00   15.88
11:55:20 PM    7    1.12    0.00   32.89    0.00    0.00    8.78    0.00   39.33    0.00   17.88

11:55:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:30 PM  all    1.36    0.00   33.32    0.04    0.00    7.40    0.00   39.37    0.00   18.52
11:55:30 PM    0    1.33    0.00   33.20    0.00    0.00    5.23    0.00   39.34    0.00   20.90
11:55:30 PM    1    1.33    0.00   28.13    0.00    0.00    5.13    0.00   46.41    0.00   18.99
11:55:30 PM    2    1.33    0.00   31.31    0.00    0.00    4.62    0.00   42.81    0.00   19.92
11:55:30 PM    3    1.13    0.00   30.48    0.10    0.00    8.75    0.00   35.84    0.00   23.69
11:55:30 PM    4    1.65    0.00   40.23    0.00    0.00    9.77    0.00   29.42    0.00   18.93
11:55:30 PM    5    1.32    0.00   32.45    0.00    0.00    7.83    0.00   44.05    0.00   14.34
11:55:30 PM    6    1.73    0.00   33.50    0.20    0.00    5.80    0.00   45.82    0.00   12.93
11:55:30 PM    7    1.22    0.00   37.14    0.00    0.00   12.04    0.00   31.12    0.00   18.47

11:55:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:40 PM  all    1.33    0.00   31.95    0.03    0.00    7.37    0.00   39.00    0.00   20.32
11:55:40 PM    0    1.12    0.00   29.83    0.00    0.00    7.56    0.00   43.21    0.00   18.28
11:55:40 PM    1    1.23    0.00   31.25    0.00    0.00    7.99    0.00   37.19    0.00   22.34
11:55:40 PM    2    1.14    0.00   27.45    0.00    0.00    3.72    0.00   41.38    0.00   26.32
11:55:40 PM    3    1.45    0.00   29.91    0.00    0.00    4.88    0.00   38.53    0.00   25.23
11:55:40 PM    4    1.53    0.00   35.96    0.00    0.00    8.99    0.00   36.06    0.00   17.47
11:55:40 PM    5    1.32    0.00   32.76    0.00    0.00    8.44    0.00   38.96    0.00   18.51
11:55:40 PM    6    1.13    0.00   36.34    0.20    0.00    9.52    0.00   35.41    0.00   17.40
11:55:40 PM    7    1.54    0.00   32.34    0.00    0.00    7.57    0.00   41.45    0.00   17.09

11:55:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:55:50 PM  all    1.37    0.00   32.95    0.01    0.00    7.13    0.00   40.01    0.00   18.54
11:55:50 PM    0    1.33    0.00   25.66    0.00    0.00    4.60    0.00   50.31    0.00   18.10
11:55:50 PM    1    1.02    0.00   29.09    0.00    0.00    6.31    0.00   40.90    0.00   22.69
11:55:50 PM    2    1.54    0.00   36.77    0.00    0.00    4.43    0.00   32.03    0.00   25.23
11:55:50 PM    3    1.02    0.00   29.94    0.00    0.00    9.06    0.00   39.00    0.00   20.98
11:55:50 PM    4    1.73    0.00   33.06    0.00    0.00    6.51    0.00   47.51    0.00   11.19
11:55:50 PM    5    1.22    0.00   32.35    0.10    0.00   12.68    0.00   41.08    0.00   12.58
11:55:50 PM    6    1.83    0.00   34.79    0.00    0.00    5.19    0.00   43.13    0.00   15.06
11:55:50 PM    7    1.44    0.00   42.00    0.00    0.00    8.26    0.00   25.70    0.00   22.60

11:55:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:00 PM  all    1.36    0.00   32.62    0.00    0.00    7.11    0.00   39.61    0.00   19.31
11:56:00 PM    0    1.63    0.00   29.94    0.00    0.00    3.67    0.00   46.84    0.00   17.92
11:56:00 PM    1    1.13    0.00   32.16    0.00    0.00    5.57    0.00   31.96    0.00   29.18
11:56:00 PM    2    1.24    0.00   27.53    0.00    0.00    6.60    0.00   37.84    0.00   26.80
11:56:00 PM    3    1.33    0.00   25.38    0.00    0.00    5.32    0.00   48.62    0.00   19.34
11:56:00 PM    4    1.43    0.00   30.48    0.00    0.00    5.50    0.00   48.93    0.00   13.66
11:56:00 PM    5    1.23    0.00   35.04    0.00    0.00   10.21    0.00   39.22    0.00   14.30
11:56:00 PM    6    1.12    0.00   37.00    0.00    0.00   12.54    0.00   33.03    0.00   16.31
11:56:00 PM    7    1.54    0.00   43.38    0.00    0.00    7.38    0.00   30.56    0.00   17.13

11:56:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:10 PM  all    1.33    0.00   33.18    0.00    0.00    7.45    0.00   39.56    0.00   18.48
11:56:10 PM    0    1.23    0.00   29.21    0.00    0.00    5.01    0.00   43.62    0.00   20.94
11:56:10 PM    1    1.43    0.00   31.70    0.00    0.00    6.95    0.00   37.83    0.00   22.09
11:56:10 PM    2    1.84    0.00   36.50    0.00    0.00    3.58    0.00   38.96    0.00   19.12
11:56:10 PM    3    1.35    0.00   32.78    0.00    0.00    5.71    0.00   34.75    0.00   25.41
11:56:10 PM    4    1.22    0.00   32.86    0.00    0.00    9.49    0.00   41.12    0.00   15.31
11:56:10 PM    5    1.13    0.00   37.91    0.00    0.00   10.86    0.00   31.56    0.00   18.55
11:56:10 PM    6    1.33    0.00   32.35    0.00    0.00    9.29    0.00   42.45    0.00   14.59
11:56:10 PM    7    1.22    0.00   31.98    0.00    0.00    8.83    0.00   45.89    0.00   12.08

11:56:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:20 PM  all    1.34    0.00   33.44    0.00    0.00    7.24    0.00   38.91    0.00   19.07
11:56:20 PM    0    1.54    0.00   32.21    0.00    0.00    7.49    0.00   39.38    0.00   19.38
11:56:20 PM    1    1.63    0.00   32.08    0.00    0.00    6.01    0.00   39.92    0.00   20.37
11:56:20 PM    2    1.23    0.00   30.46    0.00    0.00    3.38    0.00   46.87    0.00   18.05
11:56:20 PM    3    1.23    0.00   34.05    0.10    0.00    7.28    0.00   34.36    0.00   22.97
11:56:20 PM    4    1.44    0.00   39.65    0.00    0.00    7.52    0.00   29.25    0.00   22.14
11:56:20 PM    5    1.24    0.00   40.87    0.00    0.00    9.80    0.00   27.66    0.00   20.43
11:56:20 PM    6    1.01    0.00   21.07    0.00    0.00    4.76    0.00   61.80    0.00   11.35
11:56:20 PM    7    1.23    0.00   37.39    0.00    0.00   11.64    0.00   31.87    0.00   17.88

11:56:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:56:30 PM  all    1.46    0.00   32.58    0.01    0.00    7.18    0.00   39.24    0.00   19.53
11:56:30 PM    0    1.23    0.00   25.51    0.00    0.00    6.86    0.00   43.95    0.00   22.44
11:56:30 PM    1    1.75    0.00   36.74    0.00    0.00    6.30    0.00   33.64    0.00   21.57
