# TimeStamp(s) Sum Stdev
0 7.22445e+08 2.78355e+07
10 7.07117e+08 1.75282e+07
20 7.18992e+08 9.98958e+06
30 6.85837e+08 1.67219e+07
40 6.8986e+08 1.09138e+07
50 6.91374e+08 1.42266e+07
60 7.01717e+08 1.58848e+07
70 7.09768e+08 8.37449e+06
80 6.79663e+08 1.30498e+07
90 6.49883e+08 1.38888e+07
100 6.69794e+08 1.16293e+07
110 7.62426e+08 1.03635e+07
120 7.08972e+08 9.18986e+06
130 7.31307e+08 1.50083e+07
140 7.01116e+08 1.03891e+07
150 6.68144e+08 1.13104e+07
160 7.37945e+08 1.6136e+07
170 6.94811e+08 1.72987e+07
180 6.89396e+08 1.91313e+07
190 6.89347e+08 3.17673e+06
200 7.26158e+08 6.44029e+06
210 6.7992e+08 1.11834e+07
220 6.89262e+08 7.0457e+06
230 6.97706e+08 1.9049e+07
240 6.96039e+08 5.15984e+06
250 6.90018e+08 1.60901e+07
260 7.25918e+08 1.14846e+07
270 6.84384e+08 1.1666e+07
280 7.18331e+08 7.68783e+06
289 7.0082e+08 1.01268e+07
