# TimeStamp(s) Sum Stdev
0 5.54097e+09 1.41168e+09
10 5.5384e+09 2.03153e+09
20 5.71835e+09 1.95922e+09
30 5.53443e+09 1.46656e+09
40 5.59128e+09 1.84958e+09
50 5.76455e+09 2.04904e+09
60 5.64954e+09 1.67042e+09
70 5.69995e+09 2.47055e+09
80 5.64096e+09 1.89543e+09
90 5.64639e+09 1.86883e+09
100 5.61761e+09 1.99353e+09
110 5.80503e+09 2.01679e+09
120 5.63692e+09 2.3609e+09
130 5.57777e+09 2.02082e+09
140 5.74189e+09 2.30201e+09
150 5.67659e+09 1.7608e+09
160 5.72962e+09 1.18007e+09
170 5.67657e+09 1.98837e+09
180 5.58959e+09 2.10788e+09
190 5.61709e+09 2.19198e+09
200 5.73394e+09 1.55725e+09
210 5.63919e+09 2.11358e+09
220 5.64466e+09 1.71993e+09
230 5.70088e+09 2.34025e+09
240 5.58792e+09 2.15254e+09
250 5.84146e+09 1.62155e+09
260 5.6876e+09 1.87332e+09
270 5.69209e+09 2.30071e+09
280 5.67525e+09 2.04149e+09
290 5.6598e+09 1.93854e+09
