Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:16:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:51 AM  all    1.30    0.00   34.85    0.04    0.00    4.28    0.00   28.67    0.00   30.85
12:16:51 AM    0    1.41    0.00   33.94    0.30    0.00    3.54    0.00   28.18    0.00   32.63
12:16:51 AM    1    1.32    0.00   33.50    0.00    0.00    3.96    0.00   32.59    0.00   28.63
12:16:51 AM    2    1.32    0.00   35.76    0.00    0.00    4.56    0.00   24.11    0.00   34.25
12:16:51 AM    3    1.23    0.00   36.62    0.00    0.00    5.03    0.00   24.62    0.00   32.51
12:16:51 AM    4    1.32    0.00   34.72    0.00    0.00    4.25    0.00   30.06    0.00   29.66
12:16:51 AM    5    1.32    0.00   32.79    0.00    0.00    3.74    0.00   35.02    0.00   27.13
12:16:51 AM    6    1.41    0.00   34.44    0.00    0.00    4.24    0.00   30.00    0.00   29.90
12:16:51 AM    7    1.11    0.00   37.01    0.00    0.00    4.85    0.00   24.87    0.00   32.15

12:16:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:17:01 AM  all    1.27    0.00   35.04    0.05    0.00    4.20    0.00   28.71    0.00   30.74
12:17:01 AM    0    1.32    0.00   34.49    0.10    0.00    3.87    0.00   28.48    0.00   31.74
12:17:01 AM    1    1.41    0.00   36.46    0.00    0.00    4.24    0.00   24.65    0.00   33.23
12:17:01 AM    2    1.52    0.00   34.82    0.00    0.00    3.64    0.00   27.13    0.00   32.89
12:17:01 AM    3    1.12    0.00   36.63    0.20    0.00    5.31    0.00   22.04    0.00   34.69
12:17:01 AM    4    1.31    0.00   32.93    0.00    0.00    3.43    0.00   41.11    0.00   21.21
12:17:01 AM    5    1.23    0.00   34.22    0.00    0.00    3.17    0.00   29.11    0.00   32.28
12:17:01 AM    6    1.22    0.00   35.03    0.00    0.00    4.67    0.00   29.04    0.00   30.05
12:17:01 AM    7    1.12    0.00   35.70    0.00    0.00    5.27    0.00   27.99    0.00   29.92

12:17:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:17:11 AM  all    1.31    0.00   34.68    0.01    0.00    4.16    0.00   28.61    0.00   31.23
12:17:11 AM    0    1.12    0.00   36.45    0.00    0.00    5.08    0.00   25.79    0.00   31.57
12:17:11 AM    1    1.62    0.00   32.15    0.00    0.00    2.94    0.00   32.15    0.00   31.14
12:17:11 AM    2    1.42    0.00   35.10    0.00    0.00    4.27    0.00   26.45    0.00   32.76
12:17:11 AM    3    1.12    0.00   35.14    0.10    0.00    3.98    0.00   24.21    0.00   35.44
12:17:11 AM    4    1.21    0.00   34.58    0.00    0.00    4.65    0.00   28.92    0.00   30.64
12:17:11 AM    5    1.31    0.00   33.77    0.00    0.00    3.63    0.00   36.09    0.00   25.20
12:17:11 AM    6    1.42    0.00   33.60    0.00    0.00    4.15    0.00   31.58    0.00   29.25
12:17:11 AM    7    1.12    0.00   36.59    0.00    0.00    4.67    0.00   23.68    0.00   33.94

12:17:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:17:21 AM  all    1.37    0.00   34.93    0.01    0.00    4.19    0.00   28.73    0.00   30.77
12:17:21 AM    0    1.02    0.00   35.33    0.10    0.00    4.97    0.00   24.87    0.00   33.71
12:17:21 AM    1    1.31    0.00   35.29    0.10    0.00    3.94    0.00   24.67    0.00   34.68
12:17:21 AM    2    1.42    0.00   34.75    0.00    0.00    4.26    0.00   29.18    0.00   30.40
12:17:21 AM    3    1.43    0.00   37.07    0.00    0.00    4.07    0.00   22.20    0.00   35.23
12:17:21 AM    4    1.22    0.00   32.12    0.00    0.00    3.85    0.00   43.26    0.00   19.55
12:17:21 AM    5    1.33    0.00   35.61    0.00    0.00    4.80    0.00   25.41    0.00   32.86
12:17:21 AM    6    1.42    0.00   34.69    0.00    0.00    3.97    0.00   31.84    0.00   28.08
12:17:21 AM    7    1.62    0.00   34.55    0.00    0.00    3.75    0.00   28.47    0.00   31.61

12:17:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:17:31 AM  all    1.33    0.00   34.95    0.04    0.00    4.17    0.00   28.81    0.00   30.70
12:17:31 AM    0    1.22    0.00   35.16    0.00    0.00    4.57    0.00   27.44    0.00   31.61
12:17:31 AM    1    1.43    0.00   35.11    0.20    0.00    3.58    0.00   24.67    0.00   35.01
12:17:31 AM    2    1.31    0.00   35.35    0.00    0.00    4.55    0.00   26.16    0.00   32.63
12:17:31 AM    3    1.42    0.00   35.39    0.10    0.00    4.04    0.00   28.21    0.00   30.84
12:17:31 AM    4    1.22    0.00   36.11    0.00    0.00    4.98    0.00   28.08    0.00   29.60
12:17:31 AM    5    1.22    0.00   34.96    0.00    0.00    3.25    0.00   29.67    0.00   30.89
12:17:31 AM    6    1.51    0.00   33.50    0.00    0.00    3.94    0.00   37.03    0.00   24.02
12:17:31 AM    7    1.52    0.00   34.08    0.00    0.00    4.46    0.00   28.90    0.00   31.03

